Region,Location,Sample ID,pop1,pop2,pop3,pop4,pop5
Archbold,Archbold,ALD01,0.00001,0.999959,0.000011,0.00001,0.00001
Archbold,Archbold,ALD02,0.00001,0.999952,0.000018,0.00001,0.00001
Archbold,Archbold,ALD03,0.00001,0.99996,0.00001,0.00001,0.00001
Archbold,Archbold,ALD04,0.000011,0.999959,0.00001,0.00001,0.00001
Archbold,Archbold,ALD05,0.00001,0.99996,0.00001,0.00001,0.00001
Archbold,Archbold,ALD06,0.00001,0.99996,0.00001,0.00001,0.00001
Archbold,Archbold,ALD07,0.00001,0.995285,0.00001,0.00001,0.004685
Archbold,Archbold,ALD08,0.00001,0.99996,0.00001,0.00001,0.00001
Archbold,Archbold,ALD09,0.00001,0.99996,0.00001,0.00001,0.00001
Archbold,Archbold,ALD10,0.00001,0.999956,0.000014,0.00001,0.00001
Archbold,Archbold,ALD11,0.00001,0.99996,0.00001,0.00001,0.00001
Archbold,Archbold,ALD12,0.00001,0.99996,0.00001,0.00001,0.00001
Archbold,Archbold,ALD13,0.00001,0.999956,0.00001,0.000014,0.00001
Archbold,Archbold,ALD14,0.00001,0.99996,0.00001,0.00001,0.00001
Archbold,Archbold,ALD15,0.00001,0.99996,0.00001,0.00001,0.00001
Archbold,Archbold,ALD16,0.000019,0.999951,0.00001,0.00001,0.00001
Archbold,Archbold,ALD17,0.00001,0.99996,0.00001,0.00001,0.00001
Archbold,Archbold,ALD18,0.00001,0.99996,0.00001,0.00001,0.00001
Archbold,Archbold,ALD19,0.00001,0.999957,0.000013,0.00001,0.00001
Archbold,Archbold,ALD20,0.00001,0.99996,0.00001,0.00001,0.00001
Archbold,Archbold,ALD21,0.00001,0.99996,0.00001,0.00001,0.00001
Archbold,Archbold,ALD22,0.00001,0.976474,0.00001,0.00001,0.023496
Archbold,Archbold,ALD23,0.00001,0.99996,0.00001,0.00001,0.00001
Archbold,Archbold,ALD24,0.00001,0.995407,0.00001,0.00001,0.004563
Archbold,Archbold,ALD26,0.00001,0.999959,0.000011,0.00001,0.00001
Archbold,Archbold,ALD29,0.00001,0.970424,0.00001,0.00001,0.029546
NBC,BL,BCK65,0.194238,0.030019,0.511968,0.055891,0.207883
NBC,BL,BCK66,0.263385,0.031816,0.190842,0.065852,0.448105
NBC,BL,BCK67,0.224052,0.036688,0.367602,0.062854,0.308805
CBC,Cruickshank,CCK186,0.00001,0.00001,0.00001,0.00001,0.99996
CBC,Cruickshank,CCK26,0.00001,0.00001,0.00001,0.056853,0.943117
CBC,Cruickshank,CCK27,0.00001,0.00001,0.00001,0.050217,0.949753
CBC,Cruickshank,CCK29,0.00001,0.00001,0.00001,0.066794,0.933176
CBC,Cruickshank,CCK30,0.013798,0.00001,0.091462,0.025252,0.869478
CBC,Cruickshank,CCK31,0.00001,0.00001,0.00001,0.058337,0.941633
CBC,Cruickshank,CCK32,0.00001,0.00001,0.00001,0.06627,0.9337
CBC,Cruickshank,CCK33,0.00001,0.00001,0.00001,0.00001,0.99996
CBC,Cruickshank,CCK34,0.184578,0.00001,0.032035,0.028337,0.755041
CBC,Cruickshank,CCK35,0.00001,0.00001,0.00001,0.017653,0.982317
CBC,Cruickshank,CCK36,0.00001,0.00001,0.026105,0.00001,0.973865
CBC,Cruickshank,CCK37,0.00001,0.00001,0.00001,0.00001,0.99996
CBC,Cruickshank,CCK38,0.00001,0.00001,0.020446,0.00001,0.979524
CBC,Cruickshank,CCK39,0.00001,0.00001,0.00001,0.00001,0.99996
CBC,Cruickshank,CCK400,0.059774,0.00001,0.031011,0.10486,0.804345
CBC,Cruickshank,CCK405,0.048746,0.00001,0.075745,0.132816,0.742683
CBC,Cruickshank,CCK408,0.097845,0.00001,0.00001,0.007415,0.89472
CBC,Cruickshank,CCK40,0.00001,0.00001,0.00001,0.00001,0.99996
CBC,Cruickshank,CCK410,0.00001,0.00001,0.00001,0.00001,0.99996
CBC,Cruickshank,CCK412,0.00001,0.00001,0.00001,0.016015,0.983955
CBC,Cruickshank,CCK413,0.00001,0.00001,0.00001,0.010722,0.989247
CBC,Cruickshank,CCK419,0.00001,0.00001,0.00001,0.00001,0.99996
CBC,Cruickshank,CCK41,0.00001,0.00001,0.00001,0.00001,0.99996
CBC,Cruickshank,CCK423,0.00001,0.00001,0.00001,0.00001,0.99996
CBC,Cruickshank,CCK424,0.00001,0.00001,0.00001,0.00001,0.99996
CBC,Cruickshank,CCK426,0.00001,0.00001,0.00001,0.00001,0.99996
CBC,Cruickshank,CCK427,0.00001,0.00001,0.017554,0.00001,0.982416
CBC,Cruickshank,CCK428,0.00001,0.00001,0.00001,0.00001,0.99996
CBC,Cruickshank,CCK429,0.00001,0.00001,0.00001,0.00001,0.99996
CBC,Cruickshank,CCK42,0.159259,0.00001,0.140411,0.00001,0.700311
CBC,Cruickshank,CCK430,0.00001,0.00001,0.00001,0.014487,0.985483
CBC,Cruickshank,CCK43,0.211442,0.00001,0.126174,0.00001,0.662364
CBC,Cruickshank,CCK44,0.00001,0.00001,0.00001,0.00001,0.99996
CBC,Cruickshank,CCK45,0.00001,0.00001,0.00001,0.00001,0.99996
CBC,Cruickshank,CCK46,0.006315,0.000011,0.00001,0.10318,0.890485
CBC,Cruickshank,CCK47,0.187134,0.00001,0.03282,0.029919,0.750117
CBC,Cruickshank,CCK480,0.00001,0.00001,0.00001,0.00001,0.99996
CBC,Cruickshank,CCK483,0.00001,0.000011,0.00001,0.044422,0.955547
CBC,Cruickshank,CCK486,0.045978,0.00001,0.00001,0.004659,0.949343
CBC,Cruickshank,CCK489,0.173414,0.00001,0.036313,0.022416,0.767847
CBC,Cruickshank,CCK48,0.024715,0.00001,0.040099,0.032869,0.902306
CBC,Cruickshank,CCK490,0.00001,0.00001,0.00001,0.00001,0.99996
CBC,Cruickshank,CCK49,0.00001,0.00001,0.00001,0.00001,0.99996
CBC,Cruickshank,CCK50,0.00001,0.00001,0.00001,0.032737,0.967233
CBC,Cruickshank,CCK51,0.26823,0.067067,0.208227,0.099112,0.357364
CBC,Cruickshank,CCK52,0.00001,0.00001,0.00001,0.00001,0.99996
CBC,Cruickshank,CCK54,0.00001,0.00001,0.00001,0.00001,0.99996
CBC,Cruickshank,CCK55,0.000014,0.00001,0.00001,0.00001,0.999956
Merritt Island,CNS,CNS214,0.999952,0.00001,0.00001,0.000018,0.00001
Merritt Island,CNS,CNS215,0.99996,0.00001,0.00001,0.00001,0.00001
Merritt Island,CNS,CNS216,0.99996,0.00001,0.00001,0.00001,0.00001
Merritt Island,CNS,CNS217,0.99996,0.00001,0.00001,0.00001,0.00001
Merritt Island,CNS,CNS218,0.99996,0.00001,0.00001,0.00001,0.00001
NBC,DCE,DCE56,0.247589,0.057021,0.223442,0.112258,0.35969
NBC,DCE,DCE57,0.304434,0.041735,0.184868,0.103131,0.365832
NBC,DCE,DCE58,0.239543,0.047162,0.139226,0.090387,0.483681
NBC,DCE,DCE59,0.14857,0.00001,0.020206,0.029189,0.802025
NBC,DCE,DCE60,0.078859,0.00001,0.049289,0.088086,0.783757
NBC,DCE,DCE61,0.213877,0.047861,0.173277,0.065019,0.499965
NBC,SL,EF244,0.00001,0.00001,0.00001,0.99996,0.00001
NBC,SL,EF245,0.000017,0.00001,0.000016,0.999947,0.00001
NBC,SL,EF246,0.00001,0.00001,0.00001,0.99996,0.00001
NBC,SL,EF247,0.254109,0.004878,0.199912,0.346792,0.194309
NBC,Fox,FOX383,0.091322,0.00001,0.084541,0.087638,0.736488
NBC,SL,FOX62,0.000011,0.00001,0.000013,0.999956,0.00001
NBC,SL,FOX63,0.291349,0.039616,0.15295,0.290034,0.22605
NBC,SL,FOX64,0.130564,0.00001,0.06462,0.720718,0.084088
Merritt Island,Happy Creek,HCK01,0.841907,0.00001,0.042603,0.007281,0.108199
