permutation,average_weighted_fst,average_mean_fst
1,-0.00048222,-0.000863304
2,0.000748572,0.000565177
3,0.000709464,0.000581382
4,0.00467835,0.00308937
5,0.000866521,0.00040866
6,-0.000693675,-0.000866694
7,-0.00162364,-0.00151736
8,-0.00163609,-0.00157861
9,-0.00113521,-0.00135938
10,-0.00262843,-0.00263923
11,-0.00035339,-0.000671447
12,-0.00284266,-0.00282405
13,0.00173998,0.001173
14,0.0010907,0.000844593
15,0.00490488,0.00369598
16,-0.00162631,-0.00169158
17,-0.00206344,-0.00212916
18,-0.000343407,-0.000811853
19,-0.00192421,-0.00196491
20,-0.00024709,-0.000434984
21,-0.00262272,-0.00258447
22,-0.000709042,-0.00073763
23,0.000886246,0.000811249
24,-0.00205114,-0.00204166
25,0.000103037,-0.00043325
26,-0.000765774,-0.000738966
27,-0.00212408,-0.00206216
28,-0.00168361,-0.00181014
29,-0.00197341,-0.00189893
30,-0.00146809,-0.00155548
31,0.00287152,0.00195446
32,-0.00230362,-0.00216001
33,0.0023207,0.00153068
34,-0.00294088,-0.00274217
35,-0.00294974,-0.00292993
36,-0.00121241,-0.000948064
37,0.00263097,0.00176933
38,0.000576922,0.000392173
39,0.000642392,0.000351345
40,0.000436859,2.46537e-05
41,0.000988525,0.000578907
42,-0.000565273,-0.000532021
43,0.0011887,0.000721684
44,-0.000859602,-0.00109142
45,-0.00219925,-0.00209483
46,-0.00171823,-0.00166588
47,-0.00280281,-0.002714
48,-0.00112256,-0.00119271
49,0.000549706,-0.000106989
50,0.00109391,0.00066045
51,0.000486131,0.000294742
52,-0.00176382,-0.00183974
53,-0.000632368,-0.000850131
54,-0.00284889,-0.00290543
55,0.0045483,0.00316375
56,-0.00252611,-0.00234317
57,-0.00313415,-0.00299025
58,-0.00102238,-0.00119895
59,-0.000894268,-0.00120908
60,0.0067873,0.00560614
61,-0.000967895,-0.00125825
62,-0.000128271,-0.000333461
63,0.00957573,0.00799436
64,-0.00110403,-0.00132079
65,0.00356579,0.0027894
66,0.00305446,0.00253162
67,-0.00136495,-0.00143715
68,-0.00372552,-0.00356024
69,0.00269616,0.00146723
70,0.00191038,0.000906207
71,-0.00143937,-0.00176839
72,-0.00166341,-0.00159996
73,0.000127113,-0.000311309
74,-0.000532542,-0.00056984
75,0.00180894,0.00107803
76,-0.000402318,-0.000390974
77,0.00201814,0.00177577
78,-0.00387317,-0.00365883
79,0.00303873,0.00225877
80,0.00658845,0.00548718
81,0.00280779,0.00212947
82,0.0047668,0.00370826
83,0.00277345,0.00249032
84,-0.00109679,-0.00119131
85,-0.00325692,-0.00292908
86,-0.00216619,-0.00212055
87,0.00134096,0.0003212
88,-0.00210995,-0.00223399
89,-0.00111543,-0.00136834
90,-0.0018567,-0.00168124
91,-0.00146594,-0.00135043
92,0.00145117,0.000756899
93,-4.61964e-05,-0.000412154
94,3.0976e-06,-0.000445477
95,0.00420953,0.00361521
96,-0.0011862,-0.00151507
97,0.00126663,0.00116522
98,-0.00223222,-0.00223994
99,0.00102324,0.000647173
100,-0.00159868,-0.00145076
