permutation,average_weighted_fst,average_mean_fst
1,-0.000129009,-0.000283196
2,-0.00157626,-0.00159326
3,0.000387115,5.14246e-05
4,-0.00234529,-0.00233182
5,-0.00274341,-0.00263451
6,-0.00264307,-0.00256611
7,-0.0011937,-0.00116506
8,-0.000110764,-0.000370508
9,0.0015615,0.00131973
10,-0.00171888,-0.0016302
11,0.000849402,0.000527445
12,-0.000727661,-0.00104582
13,-0.000962254,-0.00110423
14,-0.000314993,-0.000518321
15,-0.0013826,-0.00156779
16,-0.00149717,-0.00164338
17,0.000861915,0.000616887
18,-0.00112192,-0.00122982
19,-0.00162715,-0.00175049
20,0.000585307,0.00013129
21,0.00128643,0.000920498
22,-0.000757725,-0.00100058
23,0.000129388,-0.000219837
24,-0.000333136,-0.000473986
25,2.69099e-05,-0.000291883
26,0.00120116,0.000960266
27,-0.00245224,-0.00259226
28,-0.00169125,-0.00183877
29,-0.000749628,-0.000857474
30,0.000824273,0.00047405
31,-2.02375e-05,-0.000266373
32,0.002941,0.00254436
33,0.0102162,0.00834629
34,-0.000895706,-0.000963752
35,0.000892936,0.000587852
36,-0.00114219,-0.0011435
37,-0.00118489,-0.00120219
38,0.00303771,0.00241094
39,-0.000136695,-0.000378394
40,-0.000454676,-0.000686492
41,-0.000842024,-0.0010097
42,-0.000533184,-0.000771418
43,-0.00135391,-0.00136479
44,-0.00243815,-0.00236401
45,0.000315555,6.25223e-05
46,0.000935122,0.000436988
47,-0.00205692,-0.00205359
48,0.000686592,0.000329973
49,0.0014726,0.000961913
50,-0.00081257,-0.000969018
51,-0.00236179,-0.00242269
52,0.00236678,0.00180558
53,-0.00163086,-0.00181679
54,-0.000380382,-0.000595676
55,-0.000934324,-0.00104263
56,-0.000440505,-0.000550643
57,0.00292455,0.00261935
58,-0.000760045,-0.000965822
59,-0.000776263,-0.000969589
60,-0.000642343,-0.000752572
61,0.00197187,0.0013928
62,-0.00106395,-0.00134865
63,-0.000825418,-0.000972529
64,0.000712927,0.000372832
65,0.0031121,0.00260787
66,-8.04092e-05,-0.000337064
67,0.000282589,0.000140722
68,-0.0020129,-0.00209331
69,0.000906082,0.000518047
70,0.00191061,0.00146106
71,-0.00223402,-0.00223461
72,-0.000965704,-0.00123319
73,-0.00237199,-0.00230301
74,-0.00134998,-0.00146991
75,-0.0018134,-0.00183994
76,0.00386519,0.00319969
77,0.00347708,0.00289649
78,-0.0010059,-0.00112528
79,0.00235174,0.0017127
80,-0.000930798,-0.00106211
81,0.000789261,0.000471993
82,-0.000558406,-0.000736947
83,-0.00237416,-0.00228903
84,0.000909639,0.000418876
85,-0.0015834,-0.00164767
86,0.00058883,0.000348224
87,-0.00210391,-0.00200862
88,0.000956448,0.000348514
89,0.00323691,0.00245781
90,-0.00174778,-0.00177708
91,0.00037618,0.000145774
92,-0.00126472,-0.00140267
93,-0.000494537,-0.000597045
94,0.000159396,-2.16132e-05
95,-0.000713395,-0.00089148
96,-0.00267328,-0.00264215
97,-0.00137634,-0.00155018
98,0.000868522,0.000446035
99,-0.000376737,-0.000653953
100,-0.000402406,-0.000627044
