permutation,average_weighted_fst,average_mean_fst
1,-0.00112336,-0.000976976
2,-0.000484071,-0.000515944
3,-0.00196969,-0.00182457
4,-0.00380021,-0.00347239
5,-0.00257174,-0.00253481
6,-0.00163901,-0.0016618
7,0.00121484,0.000768475
8,-0.00234202,-0.00211927
9,7.43228e-05,-0.000194162
10,0.000865225,0.000544491
11,0.00901513,0.00705914
12,0.000527246,-3.2517e-05
13,0.00105828,0.000325248
14,-0.00266192,-0.00272124
15,-0.000511452,-0.000689879
16,0.00138729,0.000762339
17,0.00252574,0.00182771
18,-0.0029608,-0.00294726
19,0.00232187,0.00156123
20,0.000610463,0.000342705
21,0.00290227,0.0025001
22,0.00305041,0.00210034
23,-0.00218617,-0.00209037
24,-0.00345989,-0.00339905
25,-0.00309425,-0.00277554
26,0.00139225,0.000823321
27,0.00176352,0.00152738
28,-0.00133108,-0.00132588
29,0.00633636,0.00480778
30,-0.000599545,-0.000641687
31,0.000987335,0.000393828
32,0.0013068,0.00120048
33,-0.000542809,-0.000624791
34,-0.00525454,-0.00486489
35,-0.00315441,-0.00283669
36,-0.00429865,-0.00402584
37,0.000930176,0.000801075
38,0.0102088,0.00797036
39,-0.00164074,-0.00165153
40,-0.00206794,-0.00203979
41,0.00643361,0.00484017
42,0.00453503,0.0030897
43,-0.00106462,-0.00123202
44,-0.00151874,-0.00161026
45,0.000974731,0.00046039
46,-0.00341407,-0.00318068
47,-0.000241629,-0.000637377
48,0.0191988,0.0152075
49,-0.00310467,-0.00288882
50,-0.000396201,-0.000384968
51,-0.00172876,-0.00175108
52,-4.56143e-05,-0.000290827
53,-0.00310839,-0.0029231
54,-0.00188106,-0.00201736
55,-0.00238814,-0.00222583
56,-0.003436,-0.00310063
57,0.0013214,0.000865684
58,-0.00229397,-0.00234966
59,0.000957238,-6.72588e-05
60,0.00640436,0.00553251
61,-0.00134731,-0.00121281
62,-0.000609589,-0.000683507
63,0.00246509,0.00170636
64,-0.0034985,-0.00335811
65,0.000193797,0.000105775
66,-0.00243271,-0.0021886
67,0.00217047,0.0015044
68,0.00425869,0.00333459
69,-0.00419476,-0.00395325
70,-0.000822856,-0.000962886
71,-0.0029925,-0.00270316
72,-0.00277942,-0.00263127
73,0.0115258,0.00874239
74,0.00102314,0.000590144
75,-0.00298213,-0.00279335
76,0.0173236,0.0134223
77,-0.000857936,-0.00111036
78,6.27298e-06,-5.388e-05
79,0.00712558,0.00542348
80,0.000265029,0.000226969
81,0.0104776,0.00780353
82,-0.00169027,-0.0015008
83,-0.00109049,-0.00126953
84,-0.0035665,-0.00338809
85,0.000820868,0.000670467
86,-0.00322791,-0.00300324
87,0.000881455,0.000623022
88,0.00333997,0.00256544
89,0.000560216,0.000356516
90,-0.0032335,-0.00308767
91,-0.00401303,-0.00366974
92,-0.00201493,-0.00210984
93,-0.00293037,-0.00301047
94,-0.00357844,-0.00357415
95,-0.00290467,-0.00279982
96,-0.00182523,-0.00193077
97,0.0030279,0.00226875
98,-0.00141352,-0.0014499
99,0.00925732,0.0070161
100,-0.000920773,-0.000868291
