permutation,average_weighted_fst,average_mean_fst
1,-0.00617528,-0.0115647
2,-0.00270909,-0.00962663
3,-0.00012601,-0.00229847
4,-0.00455346,-0.00636307
5,-0.00904309,-0.0112695
6,-0.0112841,-0.0137693
7,0.00812268,0.00530709
8,-0.000850872,-0.00133906
9,-0.00424475,-0.011156
10,-0.00414478,-0.00994952
11,-0.0117183,-0.0148863
12,0.00251241,0.000149293
13,0.00159963,-0.00628866
14,-0.000728638,-0.00288209
15,0.00180616,0.00239225
16,0.0280942,0.0254883
17,0.00512581,-0.00451456
18,-0.00847842,-0.011825
19,-0.0050165,-0.0111976
20,-0.00548916,-0.00707726
21,0.00564023,-0.00368518
22,-0.0106703,-0.0146471
23,-0.00516236,-0.0102561
24,0.00201667,0.00108954
25,0.00127097,-0.002443
26,0.00462018,-0.00299247
27,0.000712973,-0.0065756
28,0.000677921,-0.0021952
29,-0.00709648,-0.0117521
30,-0.00276401,-0.00449478
31,0.00422071,0.000820821
32,0.00526334,0.00298951
33,0.00330155,-0.00431458
34,-0.000855963,-0.00812885
35,-0.00310163,-0.0103715
36,-0.00687405,-0.0105107
37,0.00439044,-0.00444145
38,-0.00136342,-0.00833371
39,-0.00304932,-0.0106081
40,-0.00268797,-0.00906226
41,-0.0120653,-0.0157676
42,-0.00525495,-0.00997846
43,-0.00413398,-0.00505499
44,0.0231854,0.0243681
45,-0.00935509,-0.0132592
46,0.00133763,-0.00701998
47,-0.00488913,-0.00550712
48,-0.000280716,0.000160697
49,-0.00425945,-0.0109955
50,0.000570063,0.000921438
51,0.00768595,0.00553336
52,-0.00528849,-0.00611386
53,-0.0108479,-0.0148941
54,-0.0084398,-0.0134346
55,-0.00887672,-0.013464
56,0.00816181,0.00500542
57,0.00136636,0.00211409
58,0.0100673,0.00463916
59,0.000129016,-0.0029031
60,-0.000472851,-0.00785419
61,0.0016759,-0.000575938
62,-0.00747796,-0.00788225
63,0.00153784,-0.00644059
64,0.000395399,-0.000507816
65,-0.00274735,-0.00479163
66,-0.0030711,-0.00423943
67,-0.0099197,-0.0135107
68,-0.00458033,-0.00549544
69,0.000521684,-0.00620271
70,-0.00809609,-0.0112302
71,-0.00140326,-0.00356572
72,-0.00829306,-0.00975641
73,-0.00285153,-0.00492415
74,-0.00080842,-0.00782576
75,-0.000616461,-0.000991137
76,-0.0106687,-0.0140491
77,-0.00156113,-0.00765288
78,-0.00843264,-0.0128641
79,0.000923814,0.000373957
80,0.00036996,-0.000561155
81,-0.000656882,-0.00714415
82,0.00328166,-0.00408343
83,-0.00209829,-0.00899935
84,0.0034108,-0.00470853
85,0.00186223,-0.00182653
86,-0.0112693,-0.0156776
87,-0.00415877,-0.0102697
88,0.0304653,0.0276385
89,-0.0011948,-0.00822819
90,-0.00628164,-0.013212
91,9.61608e-06,-0.00270659
92,-0.00518877,-0.0107716
93,0.00976283,-0.000579933
94,-0.00212231,-0.00917922
95,-0.00596643,-0.0113229
96,-0.00164003,-0.00864183
97,-0.00648711,-0.00714107
98,0.0101422,0.00682179
99,-0.00884777,-0.0130715
100,0.00223854,0.0015986
