permutation,average_weighted_fst,average_mean_fst
1,-0.00168237,-0.00167071
2,-0.000682843,-0.000698139
3,-0.00117534,-0.00116594
4,0.000269103,5.70069e-06
5,-4.82115e-05,-0.000136295
6,0.000928329,0.000745314
7,-0.00136496,-0.00131646
8,0.0027441,0.0021114
9,-0.000706252,-0.000638468
10,-0.000718955,-0.000703871
11,0.00212175,0.00172266
12,0.000358982,0.000337615
13,-0.000602062,-0.000589091
14,-0.000156199,-0.000264108
15,-0.000531194,-0.000681478
16,-0.00112261,-0.00101256
17,0.00427157,0.00347052
18,-0.000189522,-0.000260546
19,0.00107732,0.000928079
20,0.00325739,0.00243737
21,-0.00119786,-0.00122247
22,-0.000857384,-0.000898223
23,-0.00112134,-0.00106596
24,-0.00233695,-0.00225644
25,0.00401777,0.00338572
26,0.0014438,0.00137525
27,-0.00118862,-0.00109529
28,-0.00157062,-0.00172204
29,-0.000662581,-0.000668418
30,-0.000840742,-0.000822267
31,-0.00126293,-0.00124469
32,-0.000140005,-0.000407123
33,0.000990707,0.000799762
34,-0.000178695,-0.000388696
35,-0.00163627,-0.00160196
36,-0.000456406,-0.000517301
37,-0.000875441,-0.00085004
38,0.00367432,0.00322174
39,-0.000967332,-0.000915917
40,-0.000493953,-0.000554586
41,-0.000293123,-0.000404157
42,-0.000213153,-0.000278606
43,0.000366332,0.00030453
44,0.000752951,0.000489935
45,-0.00145311,-0.00145335
46,0.0034071,0.00290749
47,0.000157397,-4.26078e-05
48,-0.000588774,-0.000602973
49,-0.00222627,-0.00215962
50,-0.000919911,-0.00100756
51,0.00263822,0.00224466
52,-0.00128736,-0.00126817
53,-0.00109586,-0.00111726
54,-0.00130851,-0.00115918
55,5.96724e-05,-0.000239423
56,0.000553424,0.00020101
57,-7.78158e-05,-0.000371696
58,-0.00109868,-0.00104168
59,-0.000920637,-0.00105171
60,-0.000814658,-0.000863518
61,3.35403e-05,-2.301e-05
62,-0.000331279,-0.000444298
63,0.000362304,0.000206138
64,-0.000587676,-0.000588869
65,-1.91967e-06,8.76229e-06
66,0.000134597,-9.79594e-05
67,0.000306789,7.45722e-05
68,-0.000447717,-0.000563328
69,-0.00031706,-0.000211447
70,0.000881586,0.000455957
71,0.00101183,0.000895274
72,-0.00126209,-0.0012654
73,0.000397543,0.000116726
74,-0.00060104,-0.000695435
75,-0.00149777,-0.00139895
76,0.00102156,0.000636323
77,-0.0017133,-0.00168511
78,-8.4518e-05,-0.000209875
79,0.00116255,0.000803426
80,0.000433119,0.000158248
81,-0.0022126,-0.00212387
82,6.41782e-05,-9.87031e-05
83,0.000498937,0.000173853
84,-0.000338531,-0.000509408
85,-0.00015036,-0.00031392
86,-0.000684277,-0.000709186
87,-0.00100953,-0.00104451
88,-0.00013489,-4.52292e-05
89,0.00410162,0.003385
90,0.000174916,0.000175872
91,0.000858462,0.000581241
92,0.000888218,0.000722463
93,-0.000776237,-0.000692609
94,0.00107032,0.000809146
95,0.00162301,0.00119406
96,0.00065083,0.000510126
97,0.000855609,0.000811152
98,0.00140678,0.00093912
99,0.000298759,0.000109289
100,0.0024282,0.00186969
