permutation,average_weighted_fst,average_mean_fst
1,0.000187018,8.94899e-05
2,-0.00186469,-0.00176118
3,-0.000521357,-0.000498233
4,-0.000895446,-0.000853697
5,0.00123597,0.000994552
6,0.000462592,0.000342297
7,0.00136475,0.00119299
8,-0.000584396,-0.000561254
9,-0.00092213,-0.000924483
10,4.86915e-05,3.89687e-05
11,-0.000193487,-0.000246855
12,-0.000595925,-0.000549715
13,0.000569697,0.00047189
14,0.00119818,0.000924574
15,2.88589e-05,-6.61688e-05
16,-0.000918885,-0.000856289
17,0.000397068,0.000332258
18,-0.000734822,-0.000698628
19,-0.000601213,-0.000634949
20,0.000270648,0.000162177
21,-0.000292013,-0.000358914
22,0.00172425,0.00141199
23,-0.00114233,-0.00106658
24,-0.000102585,-0.000141201
25,0.000391267,0.000256526
26,-0.000674598,-0.000635414
27,0.000135236,1.09892e-05
28,-0.000540855,-0.000569873
29,-6.93949e-05,-4.04161e-05
30,-0.000925176,-0.000852956
31,-1.53188e-05,-3.52394e-05
32,-0.000172177,-0.000229729
33,-0.00056174,-0.000507018
34,-0.000233594,-0.000208463
35,0.00039881,0.000319602
36,0.000225285,0.000169029
37,-0.00076657,-0.000772372
38,-0.00058226,-0.000575006
39,-0.000370194,-0.000325529
40,1.0403e-06,-3.86044e-05
41,-0.000882379,-0.000802556
42,0.000275467,0.000231178
43,-0.000940054,-0.000880669
44,-0.000500251,-0.000489289
45,0.000161131,7.31769e-05
46,-0.000584851,-0.000638815
47,-0.00039819,-0.000385778
48,-0.00054165,-0.00049748
49,0.00175271,0.00146365
50,-3.77795e-05,-0.000100503
51,-0.00021688,-0.000258551
52,-0.000657599,-0.000620409
53,0.000214199,0.000155422
54,0.000608564,0.00049129
55,0.00118375,0.00101441
56,-0.00109372,-0.00100259
57,0.00236606,0.0020507
58,-0.000386422,-0.000327257
59,-0.000333813,-0.000287824
60,-0.000427775,-0.000494026
61,-0.000217848,-0.000201254
62,-0.000846659,-0.00083583
63,0.000243874,0.000170776
64,-0.00015773,-0.00019501
65,-9.94209e-05,-0.000146892
66,0.000977919,0.000901541
67,3.62522e-05,-6.97785e-05
68,-0.00151203,-0.00148767
69,-0.000944433,-0.000915742
70,-0.000788351,-0.00072649
71,-0.000505443,-0.000521597
72,-0.000861432,-0.000819037
73,0.000253164,0.000205776
74,-1.00216e-06,4.5295e-07
75,-0.000367357,-0.00042007
76,-0.000539557,-0.000547712
77,-0.000681711,-0.000695352
78,0.000260696,0.000173125
79,-0.000533009,-0.000443547
80,0.00108709,0.000924205
81,0.000813648,0.000757099
82,-0.000693263,-0.000695204
83,0.000386601,0.000175205
84,0.00174456,0.00140204
85,-0.00120411,-0.00117554
86,2.16464e-05,2.09173e-05
87,0.00115903,0.000969663
88,-0.00021608,-0.000383995
89,-0.00101527,-0.000929065
90,-0.000638939,-0.000646557
91,-0.000693929,-0.000721567
92,0.00330012,0.00286252
93,-0.000414162,-0.000433824
94,-0.00156368,-0.00146842
95,-0.000156826,-0.000124557
96,-0.000256838,-0.000318405
97,0.000853591,0.000686918
98,0.00132661,0.000985984
99,-0.0010945,-0.00097377
100,-0.000214944,-0.000249927
