permutation,average_weighted_fst,average_mean_fst
1,-0.000547052,-0.000618182
2,-0.00129147,-0.00133783
3,-0.000985792,-0.00102593
4,-0.000726855,-0.000691808
5,6.48611e-05,-0.000100556
6,-0.00143853,-0.00142575
7,-0.00101779,-0.00105603
8,-0.00238796,-0.00227731
9,0.000695627,0.000498727
10,-0.000446879,-0.000482877
11,0.00024766,0.000145754
12,0.00147314,0.0011547
13,-0.00201259,-0.00193982
14,-0.000437183,-0.000481096
15,0.000442213,0.000280756
16,0.000685949,0.000387504
17,-0.00109732,-0.00116691
18,-0.00134611,-0.00141404
19,-0.000588202,-0.000695475
20,-0.00100211,-0.00103082
21,0.00148721,0.00116714
22,-0.000622309,-0.000746876
23,0.00152516,0.00117155
24,0.00268654,0.00218451
25,-0.0010206,-0.00104728
26,0.00169104,0.00142679
27,0.00158407,0.00125497
28,0.000963603,0.000742019
29,-0.000920377,-0.000884024
30,-0.000926646,-0.00105601
31,0.000311037,0.000229154
32,-0.000279759,-0.000326594
33,0.000520999,0.000352301
34,-0.000523005,-0.00057525
35,0.000840767,0.000604683
36,-0.00240267,-0.00235287
37,0.000642206,0.00046518
38,0.000294398,0.000184972
39,0.00133737,0.00103196
40,-0.00223378,-0.00220639
41,-0.000364246,-0.000454927
42,-0.00218022,-0.0021929
43,-0.00150367,-0.00152517
44,0.00145983,0.00117753
45,-0.000968853,-0.00106348
46,-0.00101025,-0.00105759
47,-0.00173011,-0.00172646
48,-0.000363285,-0.00037928
49,-0.000154234,-0.000327164
50,-0.000367586,-0.000476158
51,0.00103755,0.000865124
52,-0.00126845,-0.00120708
53,-0.000521384,-0.000650756
54,0.00080686,0.000578431
55,0.000694443,0.000559506
56,-0.000216679,-0.000176773
57,0.00111046,0.000921958
58,0.00220159,0.00187143
59,0.00281478,0.00223203
60,0.000178293,4.15139e-06
61,0.00141836,0.00124014
62,-0.000801862,-0.000861688
63,-0.00122688,-0.00123752
64,0.00112409,0.000932153
65,0.000952961,0.000672015
66,-0.000571915,-0.000608391
67,0.000652158,0.000456061
68,0.00123443,0.000903172
69,0.00211236,0.00176919
70,-0.00081043,-0.000861002
71,0.00037516,0.000198873
72,-0.000698408,-0.000745763
73,0.00108494,0.000793254
74,0.000352561,0.000223013
75,0.000148163,9.71875e-05
76,-0.00131152,-0.00133427
77,-0.00171353,-0.0016527
78,-0.000185408,-0.000269027
79,0.000147728,-2.23382e-05
80,-0.000436497,-0.000516842
81,0.000670394,0.000472033
82,0.00205052,0.00165765
83,-0.000862102,-0.000913311
84,-0.000135143,-0.000276495
85,-0.00085234,-0.000942712
86,0.0020356,0.00163569
87,0.000515585,0.00036298
88,0.000356835,0.000233076
89,0.000365069,0.000132529
90,-0.000369445,-0.000477654
91,0.000768128,0.00054866
92,0.00287545,0.00242859
93,0.000940938,0.00076251
94,-0.00140228,-0.00137418
95,-0.000451349,-0.000403846
96,0.000145352,3.31935e-05
97,0.00105237,0.000722435
98,-0.00132786,-0.00140286
99,8.42873e-05,-5.76247e-05
100,-0.000826313,-0.00094375
