permutation,average_weighted_fst,average_mean_fst
1,-0.00248812,-0.00789357
2,-0.00335865,-0.00640987
3,0.00976662,0.00372135
4,3.78974e-05,-0.00527899
5,-0.00100547,-0.00351377
6,-0.000146163,-0.00546356
7,-0.00135244,-0.00632933
8,-0.00217055,-0.00817071
9,-0.00192649,-0.00696669
10,0.00607824,-0.00159137
11,-0.00153687,-0.00795546
12,4.06697e-05,-0.00515224
13,0.00124577,-0.00497486
14,-0.00547224,-0.0113307
15,2.51359e-05,-0.00119149
16,0.00151112,-0.00341089
17,-0.00369477,-0.00688336
18,0.00399928,-0.00319943
19,-0.00547317,-0.011605
20,0.00227753,-0.00487546
21,-0.00469628,-0.0103377
22,-0.00471381,-0.00984772
23,-0.00283427,-0.00884741
24,-0.00126362,-0.00580608
25,0.00239496,-0.00352572
26,-0.000238509,-0.00715245
27,-0.00483984,-0.0106695
28,-0.000572513,-0.00716351
29,-0.00315978,-0.00674452
30,0.000681906,-0.00461632
31,-0.000951439,-0.00717134
32,-0.00294581,-0.00682885
33,-0.00432412,-0.0088918
34,-0.000732732,-0.00397076
35,-0.000430019,-0.00325196
36,-0.00361059,-0.00792151
37,0.0142838,0.0078311
38,-0.00220245,-0.00668435
39,0.0156865,0.00515257
40,6.09181e-05,-0.00580454
41,0.00471229,-0.000728153
42,-0.0035059,-0.00878029
43,0.00112531,-0.00501704
44,0.000505375,-0.00570613
45,-0.00556531,-0.00827108
46,-0.00306819,-0.00597605
47,-0.00378633,-0.00947429
48,-0.00820452,-0.0129794
49,-9.64525e-05,-0.00426162
50,-0.00434874,-0.00963552
51,-0.00286779,-0.00791701
52,0.00225349,-0.00355724
53,0.00131523,-0.00369892
54,-0.0033475,-0.00664783
55,0.00318961,-0.00374278
56,0.00247162,-0.00422538
57,0.00519074,-0.0016483
58,-0.00105499,-0.00660406
59,0.00161467,-0.00374721
60,-0.000373241,-0.0051296
61,-0.00718917,-0.0116216
62,0.00100865,-0.00548384
63,0.0260734,0.0117705
64,-0.0036817,-0.00888101
65,0.00658596,-0.000904075
66,0.00288415,-0.00482098
67,-0.00347029,-0.00665603
68,-0.00200839,-0.00843606
69,0.00213306,-0.00557323
70,0.0064837,-0.00102487
71,-0.00124564,-0.00696012
72,0.00444147,0.0029643
73,-0.00126025,-0.00625894
74,0.000909639,-0.00515789
75,-0.00260073,-0.00726983
76,-0.00405104,-0.00922333
77,0.0072219,0.00108421
78,-0.00344785,-0.00682051
79,0.00420386,-0.00253072
80,-0.00217341,-0.00774258
81,-0.00406685,-0.00877985
82,0.00465627,-0.00324432
83,-0.000211477,-0.00674167
84,-0.00247153,-0.00802643
85,-0.00080444,-0.00720302
86,0.00218703,-0.00189018
87,-0.0029386,-0.00859013
88,-0.00459741,-0.0100889
89,-0.00206254,-0.005551
90,0.00164399,-0.00442434
91,-0.00173142,-0.00768646
92,-0.00193593,-0.0076166
93,0.000461087,-0.000716085
94,-0.00345022,-0.00711219
95,-0.00170814,-0.00754205
96,-0.00251079,-0.00843307
97,0.00109977,-0.00249117
98,-0.00290471,-0.00726093
99,-0.00228202,-0.00714718
100,-0.00305031,-0.00602176
