permutation,average_weighted_fst,average_mean_fst
1,-0.00234905,-0.00258241
2,-0.00178907,-0.00192304
3,-0.0014198,-0.00160218
4,-0.0019784,-0.00219667
5,0.000611058,0.00015687
6,0.00239251,0.00135014
7,0.00189205,0.00140428
8,0.00461737,0.00324444
9,-0.000327116,-0.000613767
10,-0.00231102,-0.00242955
11,-0.00193777,-0.0020818
12,-0.00209923,-0.00208686
13,0.00239541,0.00133056
14,-0.00116904,-0.00134002
15,-0.000976788,-0.0012587
16,0.000298012,-0.00014018
17,-0.000717374,-0.000962191
18,-0.00328022,-0.00330532
19,0.00105817,0.000334005
20,-0.00221341,-0.00239958
21,0.00057401,-7.87506e-05
22,0.000374759,-0.00018284
23,-0.000697409,-0.0012121
24,-0.0020666,-0.00237361
25,-0.0029066,-0.00295114
26,-0.00172327,-0.00196523
27,-0.00114884,-0.00141075
28,-0.00233918,-0.00241822
29,-0.00172776,-0.00192858
30,-0.000722469,-0.00112166
31,-0.000679937,-0.00092954
32,-0.00312846,-0.00304546
33,0.00120098,0.000532331
34,-0.00336891,-0.00325676
35,-0.00332676,-0.00329762
36,0.00207092,0.00139318
37,-0.00200894,-0.00214005
38,-0.000147922,-0.000644829
39,-0.000512216,-0.000872955
40,-0.000915556,-0.000951834
41,-0.00173815,-0.00200934
42,0.00694979,0.00528473
43,0.00647272,0.00439933
44,-0.00131068,-0.00158376
45,-0.000979779,-0.00102774
46,-0.00204484,-0.00210247
47,-0.000530194,-0.000880883
48,0.00363769,0.00261788
49,-0.00123564,-0.00154527
50,-0.00102144,-0.00134761
51,-0.000545181,-0.000890528
52,-0.000934216,-0.00124318
53,-0.00126329,-0.00160846
54,-0.000941656,-0.00122907
55,0.00222455,0.00146645
56,0.00222343,0.00144357
57,0.00198455,0.00147776
58,0.00504845,0.0034957
59,0.00245651,0.00132402
60,-0.00296703,-0.0029375
61,-0.00088919,-0.00126627
62,-0.00198343,-0.00212503
63,-0.00193242,-0.00191619
64,0.00228672,0.00141637
65,-0.00111721,-0.00145517
66,-0.000127157,-0.000416906
67,0.00287667,0.0018073
68,-0.00168992,-0.00181022
69,0.00155645,0.000772961
70,-0.00214311,-0.00229143
71,-0.00182304,-0.00200451
72,-0.000536801,-0.000887778
73,0.00258768,0.00153512
74,0.00122664,0.000548723
75,0.00134782,0.000394215
76,-0.000434548,-0.00100985
77,0.00577994,0.0042648
78,-0.000760215,-0.0011199
79,-0.00251215,-0.00250038
80,-0.00222014,-0.00224249
81,0.00170293,0.000888318
82,-0.00277721,-0.00285341
83,-0.0011903,-0.0014006
84,0.00125926,0.000353836
85,-0.00167605,-0.00191287
86,-0.00190654,-0.00218841
87,0.00124923,0.000969808
88,-0.00239215,-0.0024762
89,-0.00191937,-0.00220319
90,0.000449936,-0.00018072
91,0.00271971,0.00205533
92,-0.00118168,-0.00140875
93,-0.00219948,-0.00233588
94,0.000339756,-7.11612e-05
95,-0.000818094,-0.00129556
96,-0.00047709,-0.000923963
97,-0.00206127,-0.00221369
98,-0.00293873,-0.00286233
99,0.00162919,0.000839262
100,-4.31947e-05,-0.00061892
