permutation,average_weighted_fst,average_mean_fst
1,-9.47144e-05,-0.000399733
2,-0.00047543,-0.00129262
3,0.00159526,0.00104464
4,0.00119581,0.000592916
5,-0.00221779,-0.00249772
6,-0.000725315,-0.00106584
7,0.00038066,9.62291e-05
8,-0.00280847,-0.00253755
9,-0.000854843,-0.000163331
10,0.00293552,0.00297487
11,-0.00093537,-0.0012296
12,0.00292018,0.00135145
13,0.000503275,-1.37773e-05
14,-0.000394791,-0.000837588
15,-0.00254466,-0.00259029
16,0.000391193,-0.000295256
17,-0.000293662,-0.00101115
18,-6.65279e-05,-0.000850837
19,-0.00204332,-0.00190308
20,-0.00292034,-0.00288552
21,6.79346e-05,-0.000565836
22,-0.00106181,-0.00151582
23,-0.00148048,-0.00212556
24,-7.21046e-05,-0.000595298
25,-0.00164315,-0.00183774
26,-0.000507043,-0.000191673
27,-0.000653665,-0.00132451
28,0.00114709,0.00011842
29,0.00103465,0.000132983
30,-0.000394031,-0.000461542
31,0.00198464,0.00109025
32,-0.000527663,-0.00115712
33,0.000780221,0.000826191
34,-0.00185858,-0.00215381
35,-0.000241511,0.000105392
36,0.00199314,0.000870552
37,-0.000900635,-0.000787179
38,-0.000355361,-0.000471721
39,-0.00255205,-0.00265813
40,0.00124684,0.000487956
41,0.000560789,0.00147027
42,0.00587509,0.00403827
43,-0.00103093,-0.00141099
44,-0.00302089,-0.00294983
45,-0.00136,-0.0013388
46,-0.00192955,-0.00218602
47,0.00417159,0.00283534
48,0.000122624,-0.000210988
49,-0.00153225,-0.00195383
50,-0.0023293,-0.00239194
51,-0.000966658,-0.00134267
52,-0.000763294,-0.00100356
53,0.00169907,0.00064045
54,-0.00161895,-0.00140725
55,0.00355195,0.00206665
56,-0.00154324,-0.00187105
57,-0.000790765,-0.00119555
58,-0.000899158,-0.0011832
59,-0.00187646,-0.00215427
60,-0.0019091,-0.00182289
61,-0.000699938,-0.00110969
62,0.000776674,0.000877794
63,-0.00220282,-0.00256986
64,0.00338829,0.00266701
65,0.00102462,-6.38998e-05
66,0.00414062,0.00423667
67,-0.00110875,-0.00175805
68,0.00181639,0.00138214
69,-0.00112307,-0.00184433
70,-0.00212122,-0.00235883
71,-0.000317475,-8.02988e-05
72,-0.00257215,-0.00261596
73,-0.000392405,-0.00110781
74,-0.0013752,-0.00175066
75,-0.000805369,-0.00113068
76,-0.000797781,-0.00100616
77,0.00295158,0.00223866
78,-0.000992116,-0.00147039
79,-0.00159167,-0.00213627
80,-0.000630424,-0.00124494
81,-0.000962233,-0.00124921
82,0.000808898,8.85814e-05
83,-0.00213666,-0.00217458
84,0.000216852,-0.000594031
85,-0.000543822,-0.00101263
86,-0.00116831,-0.00139473
87,0.00268402,0.0012658
88,-0.00359314,-0.00339248
89,0.00224964,0.00201185
90,-0.00208088,-0.00203772
91,-0.00257141,-0.00228378
92,-0.00178144,-0.00185617
93,-0.00210618,-0.0011151
94,0.00055066,-0.000342363
95,0.00475768,0.00414382
96,-0.00215082,-0.00236834
97,-1.4611e-05,-0.00041132
98,-0.000821024,-0.00114405
99,-0.00201638,-0.00185621
100,-0.00053964,-0.00126114
