permutation,average_weighted_fst,average_mean_fst
1,0.000193972,-0.000275624
2,9.74284e-05,-0.0001043
3,-0.000979708,-0.00113585
4,-0.000877205,-0.00132063
5,-0.00196541,-0.00189761
6,-0.0013951,-0.00155902
7,0.00243471,0.00148306
8,-0.00145426,-0.00183049
9,0.0005757,9.70367e-05
10,-0.000445235,-0.000748365
11,8.27462e-05,-0.000269923
12,-0.000137829,-0.000130091
13,-0.000486356,-0.000784656
14,-0.00184037,-0.00204018
15,0.00165754,0.00166078
16,-0.00149151,-0.00162305
17,-0.00168835,-0.00167901
18,-0.00224314,-0.00232411
19,-0.000701046,-0.00102867
20,-0.00140882,-0.0017347
21,0.00179778,0.00131767
22,0.00146038,0.0010315
23,-0.00100669,-0.00129645
24,0.0015887,0.00126161
25,4.49963e-05,-0.000142625
26,0.00163604,0.00110533
27,-0.000468211,-0.000874341
28,0.00116593,0.000407705
29,-0.000456168,-0.000820955
30,0.000665823,0.000549243
31,0.00131673,0.000489345
32,0.00153791,0.00133419
33,-0.00152231,-0.00158929
34,-0.000392906,-0.000727552
35,-0.000437758,-0.000927333
36,0.00312431,0.00210131
37,0.00334971,0.00243766
38,-0.0021468,-0.00234078
39,0.00149803,0.000559851
40,-0.00111511,-0.00120342
41,-0.000751358,-0.000953438
42,0.00136204,0.000719618
43,-0.000318195,-0.000764369
44,0.000138435,-0.000415539
45,0.000161368,-0.00021555
46,0.000636745,7.92425e-05
47,0.000471182,3.90945e-05
48,-0.00148749,-0.00149178
49,0.00229913,0.00169737
50,-0.00260912,-0.00272067
51,-0.000865269,-0.0011623
52,-0.0013392,-0.0014977
53,0.000151337,2.33396e-05
54,-0.0011054,-0.00129997
55,0.000733157,9.61333e-05
56,0.000435529,0.000148054
57,0.000537241,2.26825e-05
58,-0.00115277,-0.00147852
59,-0.000766233,-0.00113017
60,-0.000880297,-0.00110356
61,-0.00117818,-0.00124384
62,0.000549172,-9.94473e-06
63,-0.00134981,-0.00143285
64,0.00113077,0.00111455
65,0.000859357,0.00028913
66,-0.000219577,-0.000608282
67,-0.00116392,-0.00133716
68,0.000955704,0.000545819
69,0.001129,0.000596596
70,-0.0010163,-0.000914707
71,0.000502372,0.00027708
72,-0.000669221,-0.000999768
73,-0.000918538,-0.00117193
74,0.000878708,0.000193399
75,0.000369752,4.05099e-05
76,0.000442692,6.41229e-05
77,-0.00182769,-0.00196867
78,-0.000286978,-0.000789367
79,-0.000417621,-0.000380855
80,-0.000783321,-0.00107408
81,0.00262668,0.00202631
82,-0.00194694,-0.00208663
83,-0.00110972,-0.00127343
84,0.000496297,4.82224e-05
85,0.000552576,-1.59946e-05
86,-0.00110845,-0.00142079
87,-0.00219435,-0.00238334
88,-0.00138951,-0.00160487
89,0.000848689,0.000373573
90,0.00119008,0.000527723
91,0.000679334,-1.51243e-08
92,-0.00249974,-0.00259841
93,0.00203314,0.00111402
94,-0.0025772,-0.00267769
95,-0.000345818,-0.000767525
96,0.00111933,0.000844493
97,0.000522159,-0.000165771
98,0.00129328,0.000558266
99,-0.000495218,-0.000614716
100,0.000532126,-9.45726e-05
