permutation,average_weighted_fst,average_mean_fst
1,-0.00064796,-0.00053965
2,-0.000901081,-0.00105573
3,-0.00325029,-0.00321515
4,-0.0016982,-0.00180209
5,-0.00346085,-0.00342337
6,-0.00295731,-0.00273997
7,-8.91263e-05,-0.00012924
8,-0.00109679,-0.00140667
9,-0.00116061,-0.00141139
10,0.00163655,0.000731485
11,-0.000446686,-0.000644597
12,-0.000118125,-0.000602572
13,-0.000465346,-0.000648364
14,0.0034245,0.00292553
15,0.00165977,0.00085794
16,0.00130551,0.000715545
17,-0.000525354,-0.000810336
18,-0.00173429,-0.00184027
19,0.000780545,0.000346823
20,-0.00109434,-0.00124738
21,-0.00210361,-0.00216388
22,-0.00317482,-0.00313513
23,2.18801e-05,-0.000359562
24,0.00367499,0.00259666
25,0.00484662,0.00354164
26,-0.000833659,-0.000750981
27,0.00840874,0.00631986
28,-0.000317337,-0.000768928
29,-0.00260646,-0.00242716
30,-0.000174974,-0.000603718
31,0.0114049,0.00903065
32,-0.00240412,-0.00247817
33,-0.00223782,-0.00204802
34,-0.00139472,-0.00137402
35,-0.00250448,-0.0027103
36,0.00412405,0.00282957
37,-0.000663625,-0.000917712
38,0.00158059,0.000808168
39,-0.00279369,-0.00273938
40,-0.00190912,-0.00213426
41,-0.00176719,-0.00161402
42,-0.000144928,-0.00054825
43,-0.00157596,-0.00170523
44,-0.000889372,-0.00102262
45,-0.00180103,-0.00214738
46,0.00344647,0.00212087
47,-0.00239685,-0.00242846
48,0.000959064,0.00069478
49,0.00555978,0.00477282
50,0.00548051,0.00409432
51,-0.00222651,-0.00221974
52,-0.00306649,-0.00281163
53,0.00275086,0.0020775
54,0.000403429,-0.000231308
55,-0.00152084,-0.00178788
56,-0.00112548,-0.00113081
57,-0.00262463,-0.00263322
58,-0.00254875,-0.002482
59,0.00403981,0.00371636
60,-0.00287938,-0.00276873
61,0.00587815,0.00516821
62,-0.000436721,-0.000679814
63,-0.00264925,-0.00260407
64,-0.00189135,-0.00193109
65,-0.00151741,-0.00143745
66,0.00269607,0.00134678
67,0.00264602,0.00174756
68,0.00136285,0.000885934
69,0.00312431,0.00222007
70,0.000181007,-0.000223489
71,-0.00231102,-0.00248759
72,-0.00108297,-0.0012328
73,0.000638448,5.99307e-05
74,-0.00422888,-0.00407428
75,0.0025675,0.0018604
76,-6.04263e-05,-0.00023077
77,-8.44937e-06,-0.000462354
78,0.000164063,-0.00021639
79,-0.000247325,-0.000219707
80,-0.00241486,-0.00261031
81,-0.000918101,-0.000855955
82,-0.00164665,-0.00170707
83,-0.00299684,-0.00300188
84,0.00215342,0.00159644
85,0.00556551,0.00396591
86,-9.28188e-05,-0.00056198
87,-0.00276548,-0.00282237
88,0.000612349,-0.000177946
89,0.000132738,-0.000354641
90,0.00278325,0.00252949
91,0.00290165,0.00228722
92,0.00614113,0.00536853
93,-0.00211176,-0.00219811
94,-0.00205383,-0.00208316
95,-0.000311596,-0.00068946
96,-0.00299827,-0.00299096
97,0.000105732,-9.95078e-05
98,-0.0036668,-0.00363291
99,0.00107301,0.000819159
100,-0.00158074,-0.00157238
