permutation,average_weighted_fst,average_mean_fst
1,-0.00716198,-0.0110875
2,-0.00622578,-0.00993016
3,0.000678167,-0.00333235
4,-0.00739023,-0.0108847
5,0.00131264,-0.00466421
6,-0.000445755,-0.00417717
7,-0.00496207,-0.00770314
8,0.00374866,-0.00196144
9,0.000529731,-0.00476241
10,-0.000808334,-0.00589557
11,0.000362225,-0.00355227
12,-0.00189039,-0.00496855
13,-3.7664e-05,-0.00495245
14,-0.00709002,-0.0111263
15,-0.00672364,-0.0107203
16,-0.00937926,-0.0125991
17,0.00103493,-0.00232306
18,-0.00192188,-0.00454964
19,0.00499261,-0.00131282
20,0.00123766,-0.00296813
21,0.0022438,-0.00410228
22,0.0181836,0.0102318
23,0.00364544,-0.00253281
24,5.454e-05,-0.00371961
25,-0.0106431,-0.0128111
26,0.00252321,-0.00116852
27,-0.00613322,-0.00681636
28,-0.00109556,-0.00506788
29,0.00400873,-0.00199008
30,0.00145995,-0.00238751
31,-0.00224719,-0.00571904
32,0.0024923,-0.00366767
33,0.00555648,-0.000768748
34,0.0363471,0.0245291
35,-0.00858728,-0.0118077
36,-0.0090947,-0.0114358
37,-0.00452071,-0.00840962
38,0.00105486,-0.0021613
39,-0.00284043,-0.00603224
40,-0.00127974,-0.00464601
41,0.00307617,-0.00257223
42,-0.00808598,-0.0115031
43,0.00416493,-0.00232495
44,0.00256406,-0.00362912
45,-0.0046064,-0.00567826
46,-0.00458818,-0.00730082
47,0.0114572,0.00652897
48,-0.00860441,-0.01211
49,0.00472661,-0.000371261
50,0.00224577,-0.0022645
51,-0.00309371,-0.00479155
52,0.00305112,-0.00262195
53,0.00494194,-0.00172566
54,0.00800293,0.00146529
55,-0.00149604,-0.00533886
56,0.000477493,-0.00486121
57,-0.00148819,-0.00524376
58,-0.00182202,-0.00552984
59,0.00593368,0.000169335
60,-0.0105244,-0.0120974
61,-0.00127798,-0.00515868
62,0.0032932,-0.000403075
63,-0.00397219,-0.00415159
64,-0.00474157,-0.00606874
65,-0.00155945,-0.00492502
66,-0.00557407,-0.0102205
67,-0.000429939,-0.00421806
68,-0.00227574,-0.00515674
69,-0.0101884,-0.0120813
70,-0.00465716,-0.00729156
71,-0.00431485,-0.00609255
72,0.00182186,-0.0039071
73,-0.00533687,-0.00988879
74,0.00330811,-0.00245737
75,-0.0056385,-0.00925449
76,-0.00264527,-0.00578173
77,-0.00623988,-0.0101697
78,0.00269209,-0.00127814
79,0.00232683,-0.00325067
80,0.00983184,0.0027314
81,0.00259591,-0.00363376
82,0.00181898,0.00115916
83,-0.00226476,-0.00569076
84,0.00683121,-0.000285987
85,0.00293734,-0.00130306
86,0.00310368,-0.00319694
87,0.00458072,-0.000999949
88,0.00224957,-0.00195473
89,-0.00196433,-0.00527084
90,-0.00582676,-0.0101463
91,-0.00493342,-0.00915927
92,-0.00275825,-0.00596942
93,-0.000114668,-0.0054216
94,0.00422822,-0.000967432
95,-0.0032277,-0.00802022
96,-0.00206267,-0.00507356
97,0.00387754,-0.00223143
98,0.000320527,-0.00328967
99,0.00826888,0.000324631
100,-0.00305243,-0.0062204
