permutation,average_weighted_fst,average_mean_fst
1,-0.00194764,-0.00801287
2,0.00215013,-0.000667887
3,0.011044,0.000445461
4,-0.00765858,-0.0108197
5,-0.00627551,-0.011341
6,-0.00896484,-0.0110149
7,-0.0022338,-0.00767173
8,0.00160122,-0.00795231
9,-0.00770896,-0.0121114
10,-0.00236456,-0.00867932
11,-0.0064203,-0.0125824
12,-0.00584503,-0.00998158
13,0.000578056,-0.00161811
14,0.00521995,-6.86104e-05
15,-0.00412326,-0.00878516
16,0.00657533,-0.0019419
17,-0.00144467,-0.00911845
18,-0.00136238,-0.00683394
19,0.000751233,-0.00509487
20,0.00508157,-0.00278104
21,0.000779405,-0.0029313
22,0.0277603,0.0112342
23,0.022236,0.00734496
24,-0.00227475,-0.00726882
25,-0.00285373,-0.00823867
26,-0.00542891,-0.0109003
27,0.00175505,-0.00484305
28,0.00258939,-0.000850312
29,-0.00801792,-0.0135033
30,-0.00388257,-0.0111978
31,-0.00840013,-0.0149287
32,-0.00893911,-0.0101642
33,0.0147382,0.0050704
34,-0.0084329,-0.0136605
35,0.0138421,0.00164438
36,-0.00471259,-0.00898947
37,-0.000784853,-0.00376344
38,0.00719923,-0.00739466
39,-0.00293219,-0.00937805
40,0.00159701,-0.00255318
41,0.00521776,-0.00409138
42,-0.00137757,-0.00698068
43,-0.00419453,-0.012297
44,0.0103114,0.00501142
45,-0.00341973,-0.00444683
46,-0.00421518,-0.00834772
47,-0.00362332,-0.00965178
48,-0.00306291,-0.00752519
49,-0.00892553,-0.0131755
50,-0.00946333,-0.0150564
51,-0.00223127,-0.0103217
52,-0.00873859,-0.0116082
53,-0.00726893,-0.0120706
54,-0.00556335,-0.00749953
55,-0.00340446,-0.00964404
56,-0.00503647,-0.00936714
57,-0.00145808,-0.0092119
58,-0.0112661,-0.0171512
59,-0.0107445,-0.0147233
60,-0.00109638,-0.00465073
61,-0.00399299,-0.0109544
62,-0.00524359,-0.00989273
63,-0.00255455,-0.00457167
64,0.0118633,-0.000270115
65,-0.00679413,-0.0144668
66,-0.00325835,-0.0062881
67,-0.00107791,-0.00599298
68,0.0119063,0.000542625
69,0.00260445,0.00160377
70,0.00182214,-0.00424517
71,-0.00654076,-0.0098254
72,-0.00479992,-0.0105393
73,-0.00432517,-0.0114182
74,0.0104216,0.00908431
75,0.00328128,-0.0028272
76,-0.000436697,-0.00767405
77,-0.00991691,-0.0150935
78,-0.00554844,-0.0145282
79,-0.00167358,-0.00614791
80,-0.00705203,-0.0089839
81,-0.00483713,-0.00919933
82,-0.00846653,-0.0142729
83,-0.000162929,-0.0074916
84,-0.00405662,-0.00792143
85,-0.00137686,-0.00866657
86,0.00404394,-0.00152186
87,-0.00367316,-0.0113165
88,-0.00338449,-0.00965363
89,0.00384921,0.00186245
90,-0.00118575,-0.004948
91,0.000565701,-0.00589596
92,-0.00418315,-0.00882377
93,0.00276706,-0.00629393
94,-0.00618854,-0.00981633
95,-0.00578401,-0.01018
96,8.30726e-05,-0.00161027
97,0.00285872,-0.00399405
98,-0.00541238,-0.0105198
99,-0.00193813,-0.00722102
100,0.00139131,-0.0043352
