permutation,average_weighted_fst,average_mean_fst
1,-0.00154407,-0.00821132
2,-0.00581703,-0.00883252
3,-0.00918875,-0.0140131
4,-0.00508635,-0.00867644
5,-0.000402658,-0.00471006
6,-0.00914979,-0.0127952
7,0.00557664,0.00454478
8,0.0114791,0.00424093
9,-0.00829294,-0.0127685
10,-0.00851199,-0.0125639
11,-0.00274191,-0.00524595
12,-0.0100244,-0.0134214
13,-0.0123371,-0.0147101
14,0.000638154,-0.00285649
15,-0.00564809,-0.010937
16,-0.00932291,-0.011749
17,0.0138546,0.00412803
18,-0.00420333,-0.00948239
19,-0.00122432,-0.00577757
20,0.0198612,0.00970179
21,0.00353426,-0.00345541
22,0.00831809,-0.00232115
23,-0.00304271,-0.00590214
24,-0.00158742,-0.00544833
25,0.00165099,-0.00569338
26,-0.00708093,-0.0126047
27,-0.00563309,-0.00571079
28,-0.00797426,-0.0117611
29,-0.00912405,-0.0107553
30,-0.0053128,-0.00778575
31,0.00361423,-0.00457331
32,-0.00701327,-0.00863788
33,-0.00797479,-0.0123982
34,-0.00455513,-0.00876997
35,-0.00561828,-0.00636311
36,0.0102997,0.00683277
37,-0.000486463,-0.00624703
38,0.00385504,0.000135016
39,0.000110308,-0.00912363
40,-0.000442684,-0.00334073
41,-0.0047219,-0.00998519
42,-0.000103831,-0.0076415
43,0.0146912,0.00899215
44,-0.00420148,-0.00753434
45,-0.00802054,-0.0114553
46,0.00185176,-0.00217216
47,-0.0027559,-0.00747888
48,0.00152647,-0.000816325
49,-0.00606114,-0.00869092
50,-0.00638438,-0.00962965
51,-0.00407976,-0.00980035
52,-0.0120737,-0.016543
53,-0.00901357,-0.012836
54,0.000684264,-0.00737083
55,0.00204915,-0.00469325
56,-0.0123121,-0.0159293
57,-0.00334182,-0.0078217
58,0.00688442,0.00226624
59,-0.000548986,-0.00258423
60,0.00511257,-0.00268066
61,-0.00286511,-0.00427083
62,0.000959045,-0.0023387
63,-0.00285423,-0.00770015
64,-0.00576108,-0.00924129
65,-0.00141097,-0.00578247
66,0.00186681,-0.00394441
67,-0.00745796,-0.0113008
68,-0.00291731,-0.00847448
69,-0.00430192,-0.00906881
70,-0.00576434,-0.010666
71,-0.00520735,-0.00860758
72,-0.00113612,-0.00291791
73,-0.00688259,-0.0124234
74,-0.0059263,-0.00783185
75,-0.00569963,-0.0100079
76,-0.000283928,-0.00390139
77,-0.00802076,-0.0105255
78,-0.0029108,-0.00643231
79,-0.00788161,-0.0128739
80,0.00522096,0.00283838
81,0.0132087,0.00404989
82,-0.0071709,-0.0100558
83,-0.00729291,-0.00830522
84,-0.0017184,-0.00892238
85,-0.00256489,-0.00616978
86,0.0049352,0.00150732
87,-0.00265793,-0.006662
88,-0.00599305,-0.00990133
89,0.0176324,0.00470251
90,-0.00737296,-0.0104184
91,0.00579883,-0.000939324
92,-0.00520212,-0.00991075
93,-0.00888209,-0.0102533
94,-0.00137905,-0.00674605
95,-0.00861677,-0.0140314
96,-0.000312663,-0.00535634
97,-0.00216279,-0.00645035
98,0.00540928,-0.00200334
99,-0.000373392,-0.00337386
100,0.00396939,-0.0057359
