Cluster,Location,LatY,LatX
Archbold,Archbold,27.130111,-81.362
CBC,Viera,28.26478,-80.698866
CBC,Cruickshank,28.294553,-80.707099
SBC,Malabar,27.97845,-80.559601
SBC,Micco,27.875053,-80.596757
SBC,Valkaria,27.939871,-80.561508
Merritt Island,Happy Creek,28.631833,-80.664209
Merritt Island,Shiloh,28.771908,-80.783382
Merritt Island,Ransom Road,28.503033,-80.663536
Merritt Island,TEL4,28.478335,-80.667137
Merritt Island,Canaveral National Seashore,28.644673,-80.682888
Merritt Island,Schwartz,28.573645,-80.63217
Ocala,Ocala,29.121606,-81.802941
Ocala,Ocala,29.242371,-81.740739
Ocala,Ocala,29.297329,-81.779663
Ocala,Ocala,29.425022,-81.867725
Ocala,Ocala,29.432893,-81.746829
SL,South Lake,28.639051,-80.869682
SL,South Lake,28.640572,-80.875179
