"Pop1","Pop2","Weighted_FST","Mean_FST","pair"
"Archbold","CBC",0.107051055433668,0.0867546827666571,"Archbold.CBC"
"Archbold","Merritt Island",0.0874541417117085,0.0707275697687036,"Archbold.Merritt Island"
"Archbold","SBC",0.098292567268039,0.0757839091903381,"Archbold.SBC"
"Archbold","SL",0.121324517488687,0.103403955849374,"Archbold.SL"
"CBC","SBC",0.0417673496105641,0.0360224528309822,"CBC.SBC"
"Merritt Island","CBC",0.054588872972569,0.0458732317547057,"Merritt Island.CBC"
"Merritt Island","SBC",0.0466796014369711,0.039413837419872,"Merritt Island.SBC"
"Merritt Island","SL",0.0600237604567936,0.0483834303421277,"Merritt Island.SL"
"Ocala","Archbold",0.0693131519909045,0.0562562010220321,"Ocala.Archbold"
"Ocala","CBC",0.071011985576623,0.0648457750361487,"Ocala.CBC"
"Ocala","Merritt Island",0.0478482884973772,0.0429662716322362,"Ocala.Merritt Island"
"Ocala","SBC",0.0604943747432741,0.0504538827453143,"Ocala.SBC"
"Ocala","SL",0.0758481016472883,0.0561957269382036,"Ocala.SL"
"SL","CBC",0.0555960509221687,0.04719692081007,"SL.CBC"
"SL","SBC",0.058258323075188,0.0455536096953607,"SL.SBC"
