INDV	O.HOM.	E.HOM.	N_SITES	F	cluster	Ho	He	N	He_unbiased
CNS214	1128890	1096583.4	1542637	0.07243	Merritt Island	0.268207621105937	0.28915007224642	58	0.291664420700736
CNS215	1133110	1097589.7	1544044	0.07956	Merritt Island	0.266141379390743	0.289146099463487	58	0.291660413371865
CNS216	1126562	1097368.5	1543811	0.06539	Merritt Island	0.270272073459769	0.289182095476713	58	0.291696722393902
CNS217	1124917	1079236.2	1518756	0.10393	Merritt Island	0.259316835620732	0.289394609799072	58	0.29191108466689
CNS218	1109746	1107991.5	1558285	0.0039	Merritt Island	0.287841441071434	0.288967358345874	58	0.291480117983664
HCK01	1070326	1005175.8	1414613	0.15912	Merritt Island	0.243378931198851	0.289434071367929	58	0.291950889379824
HCK02	1031657	962481.1	1354087	0.17665	Merritt Island	0.238116162403154	0.28920290941424	58	0.29171771732219
HCK128	1120586	1079195.2	1518776	0.09416	Merritt Island	0.262178227730752	0.289430962827961	58	0.291947753809074
HCK131	1103848	1111159.2	1562461	-0.0162	Merritt Island	0.29351964625037	0.288840361455422	58	0.291352016772426
HCK132	1127134	1108135.2	1558546	0.04218	Merritt Island	0.27680414950858	0.288994229236737	58	0.291507222534448
HCK133	1101008	1112176.6	1563853	-0.02473	Merritt Island	0.295964518404223	0.288822798562269	58	0.291334301158463
HCK141	1103568	1098035.4	1545199	0.01237	Merritt Island	0.285808494569308	0.289389004264176	58	0.291905430388212
HCK142	1102118	1110401.2	1561506	-0.01836	Merritt Island	0.294195475393626	0.28889085280492	58	0.291402947177137
HCK221	1112745	1108650.9	1559285	0.00909	Merritt Island	0.286374844880827	0.289000471369891	58	0.29151351894702
HCK438	1121286	1108660.5	1559121	0.02803	Merritt Island	0.280821693762062	0.288919525809735	58	0.291431869512428
HCK445	1095875	1114574.3	1566903	-0.04134	Merritt Island	0.300610822750355	0.288676899591104	58	0.291187133500592
HCK448	1101174	1112465.6	1564227	-0.02499	Merritt Island	0.296026727578542	0.288808082202903	58	0.291319456830754
HCK99	1126349	1101629	1549547	0.05519	Merritt Island	0.273110786571817	0.289063836075963	58	0.291577434650536
HCKW123	1119369	1087909.7	1531240	0.07096	Merritt Island	0.268978736187665	0.289523719338575	58	0.292041316898041
HCKW442	1109206	1111939.7	1563520	-0.00605	Merritt Island	0.290571275071633	0.288822848444535	58	0.291334351474488
HCKW98	1115483	1110959.6	1562280	0.01002	Merritt Island	0.28599034744092	0.28888573111094	58	0.291397780946688
RR110	1113813	1105863.6	1555664	0.01767	Merritt Island	0.284027270670273	0.28913724300363	58	0.291651479899314
RR111	1113161	1114556	1566905	-0.00308	Merritt Island	0.289579776693546	0.288689486599379	58	0.291199829961113
RR112	1160144	1109607	1560491	0.11208	Merritt Island	0.25655194422781	0.28893726397653	58	0.291449761924152
RR205	1124697	1108704.7	1559315	0.03549	Merritt Island	0.2787236703296	0.288979648114717	58	0.291492514620062
RR206	1119144	1102968.4	1551591	0.03606	Merritt Island	0.278711980154564	0.289137150189709	58	0.291651386278315
RR207	1131887	1104365.1	1553478	0.06128	Merritt Island	0.271385240087082	0.289101551486407	58	0.291615478021071
RR95	1132247	1104862.3	1554052	0.06096	Merritt Island	0.271422706576099	0.289044188997537	58	0.29155761672795
RR96	1117098	1108620	1559212	0.01882	Merritt Island	0.283549639176712	0.28898700112621	58	0.291499931570786
SHIL108	1121439	1104715.5	1553759	0.03724	Merritt Island	0.278241348883578	0.289004601099656	58	0.291517684587479
SHIL147	1123627	1107642	1557769	0.03551	Merritt Island	0.27869472303018	0.288956193119776	58	0.291468855668643
SHIL148	1113093	1106368.4	1555994	0.01496	Merritt Island	0.28464184309194	0.288963582121782	58	0.291476308922841
SHIL159	1111870	1111102.2	1562446	0.0017	Merritt Island	0.288378606364636	0.28887001534773	58	0.291381928524667
SHIL166	1095938	1113377	1565384	-0.03858	Merritt Island	0.29989191150542	0.288751514005509	58	0.291262396735992
SHIL168	1108341	1109458.1	1560276	-0.00248	Merritt Island	0.289650677187882	0.288934714114682	58	0.291447189889592
SHIL459	1155678	1082712.5	1523639	0.16548	Merritt Island	0.241501431769599	0.289390400219475	58	0.291906838482253
SHIL462	1152334	1086057.6	1528163	0.14991	Merritt Island	0.245935152205622	0.289305133025731	58	0.29182082983465
SHIL472	1122397	1106242.3	1555834	0.03593	Merritt Island	0.27858820414003	0.288971509814029	58	0.291484305551542
SHIL474	1133161	1112669.7	1564499	0.04535	Merritt Island	0.275703595847616	0.28880127120567	58	0.291312586607459
SHIL475	1102180	1112265	1563921	-0.02233	Merritt Island	0.295245731721743	0.288797196277817	58	0.29130847624545
