cluster,location,FID,IID,PHE,NSEG,KB,KBAVG
Archbold,Archbold,ALD01,ALD01,-9,16,22485.2,1405.32
Archbold,Archbold,ALD02,ALD02,-9,11,20331.7,1848.33
Archbold,Archbold,ALD03,ALD03,-9,2,2649.61,1324.8
Archbold,Archbold,ALD04,ALD04,-9,36,63135.6,1753.77
Archbold,Archbold,ALD05,ALD05,-9,14,20502.1,1464.44
Archbold,Archbold,ALD06,ALD06,-9,15,24643.8,1642.92
Archbold,Archbold,ALD07,ALD07,-9,0,0,0
Archbold,Archbold,ALD08,ALD08,-9,1,1919.16,1919.16
Archbold,Archbold,ALD09,ALD09,-9,6,9599.27,1599.88
Archbold,Archbold,ALD10,ALD10,-9,1,1828.41,1828.41
Archbold,Archbold,ALD11,ALD11,-9,3,4217.19,1405.73
Archbold,Archbold,ALD12,ALD12,-9,5,7201.25,1440.25
Archbold,Archbold,ALD13,ALD13,-9,4,5702.56,1425.64
Archbold,Archbold,ALD14,ALD14,-9,3,4679.87,1559.96
Archbold,Archbold,ALD15,ALD15,-9,4,4902.73,1225.68
Archbold,Archbold,ALD16,ALD16,-9,4,5805.6,1451.4
Archbold,Archbold,ALD17,ALD17,-9,3,3484.92,1161.64
Archbold,Archbold,ALD18,ALD18,-9,12,18844.9,1570.41
Archbold,Archbold,ALD19,ALD19,-9,20,33746.8,1687.34
Archbold,Archbold,ALD20,ALD20,-9,18,32570.1,1809.45
Archbold,Archbold,ALD21,ALD21,-9,21,34407.3,1638.44
Archbold,Archbold,ALD22,ALD22,-9,0,0,0
Archbold,Archbold,ALD23,ALD23,-9,22,33997.8,1545.35
Archbold,Archbold,ALD24,ALD24,-9,2,2484.96,1242.48
Archbold,Archbold,ALD26,ALD26,-9,3,4095.31,1365.1
Archbold,Archbold,ALD29,ALD29,-9,1,1333.63,1333.63
CBC,Cruickshank,CCK186,CCK186,-9,15,24274.2,1618.28
CBC,Cruickshank,CCK26,CCK26,-9,6,7963.17,1327.2
CBC,Cruickshank,CCK27,CCK27,-9,1,1079.39,1079.39
CBC,Cruickshank,CCK29,CCK29,-9,1,1225.57,1225.57
CBC,Cruickshank,CCK30,CCK30,-9,1,1923.36,1923.36
CBC,Cruickshank,CCK31,CCK31,-9,2,2360.11,1180.06
CBC,Cruickshank,CCK32,CCK32,-9,1,1734.19,1734.19
CBC,Cruickshank,CCK33,CCK33,-9,1,1245.87,1245.87
CBC,Cruickshank,CCK34,CCK34,-9,0,0,0
CBC,Cruickshank,CCK35,CCK35,-9,0,0,0
CBC,Cruickshank,CCK36,CCK36,-9,0,0,0
CBC,Cruickshank,CCK37,CCK37,-9,7,8526.24,1218.03
CBC,Cruickshank,CCK38,CCK38,-9,4,4810.96,1202.74
CBC,Cruickshank,CCK39,CCK39,-9,3,3817.15,1272.38
CBC,Cruickshank,CCK400,CCK400,-9,11,16909.7,1537.25
CBC,Cruickshank,CCK405,CCK405,-9,0,0,0
CBC,Cruickshank,CCK408,CCK408,-9,2,2752.31,1376.16
CBC,Cruickshank,CCK40,CCK40,-9,1,2036.84,2036.84
CBC,Cruickshank,CCK410,CCK410,-9,2,2557.38,1278.69
CBC,Cruickshank,CCK412,CCK412,-9,1,1235.85,1235.85
CBC,Cruickshank,CCK413,CCK413,-9,2,2575.2,1287.6
CBC,Cruickshank,CCK419,CCK419,-9,2,2501.76,1250.88
CBC,Cruickshank,CCK41,CCK41,-9,1,1312.85,1312.85
CBC,Cruickshank,CCK423,CCK423,-9,22,41339.3,1879.06
CBC,Cruickshank,CCK424,CCK424,-9,6,7181.83,1196.97
CBC,Cruickshank,CCK426,CCK426,-9,1,1357.53,1357.53
CBC,Cruickshank,CCK427,CCK427,-9,16,23018.9,1438.68
CBC,Cruickshank,CCK428,CCK428,-9,3,3116.55,1038.85
CBC,Cruickshank,CCK429,CCK429,-9,1,1079.63,1079.63
CBC,Cruickshank,CCK42,CCK42,-9,1,1219.04,1219.04
CBC,Cruickshank,CCK430,CCK430,-9,3,4049.31,1349.77
CBC,Cruickshank,CCK43,CCK43,-9,1,1090.11,1090.11
CBC,Cruickshank,CCK44,CCK44,-9,9,11596.8,1288.54
CBC,Cruickshank,CCK45,CCK45,-9,1,1312.71,1312.71
CBC,Cruickshank,CCK46,CCK46,-9,3,3498.81,1166.27
CBC,Cruickshank,CCK47,CCK47,-9,0,0,0
CBC,Cruickshank,CCK480,CCK480,-9,4,5327.71,1331.93
CBC,Cruickshank,CCK483,CCK483,-9,0,0,0
CBC,Cruickshank,CCK486,CCK486,-9,4,5370.73,1342.68
CBC,Cruickshank,CCK489,CCK489,-9,0,0,0
CBC,Cruickshank,CCK48,CCK48,-9,1,1556.64,1556.64
CBC,Cruickshank,CCK490,CCK490,-9,2,3040.55,1520.28
CBC,Cruickshank,CCK49,CCK49,-9,0,0,0
CBC,Cruickshank,CCK50,CCK50,-9,0,0,0
CBC,Cruickshank,CCK51,CCK51,-9,0,0,0
CBC,Cruickshank,CCK52,CCK52,-9,1,1680.53,1680.53
CBC,Cruickshank,CCK54,CCK54,-9,2,2253.17,1126.58
CBC,Cruickshank,CCK55,CCK55,-9,7,9381.58,1340.23
Merritt Island,Canaveral National Seashore,CNS214,CNS214,-9,1,2004.11,2004.11
Merritt Island,Canaveral National Seashore,CNS215,CNS215,-9,4,4781.96,1195.49
Merritt Island,Canaveral National Seashore,CNS216,CNS216,-9,3,4000.25,1333.42
Merritt Island,Canaveral National Seashore,CNS217,CNS217,-9,1,1768.12,1768.12
Merritt Island,Canaveral National Seashore,CNS218,CNS218,-9,1,1058.08,1058.08
SL,South Lake,EF244,EF244,-9,2,2270.22,1135.11
SL,South Lake,EF245,EF245,-9,6,8714.66,1452.44
SL,South Lake,EF246,EF246,-9,1,1326.82,1326.82
SL,South Lake,EF247,EF247,-9,1,1056.29,1056.29
SL,South Lake,FOX62,FOX62,-9,6,7433.72,1238.95
SL,South Lake,FOX63,FOX63,-9,3,4153.8,1384.6
SL,South Lake,FOX64,FOX64,-9,1,1004.21,1004.21
Merritt Island,Happy Creek,HCK01,HCK01,-9,0,0,0
Merritt Island,Happy Creek,HCK02,HCK02,-9,0,0,0
Merritt Island,Happy Creek,HCK128,HCK128,-9,1,1123.31,1123.31
Merritt Island,Happy Creek,HCK131,HCK131,-9,5,6469.39,1293.88
Merritt Island,Happy Creek,HCK132,HCK132,-9,2,3264.53,1632.27
Merritt Island,Happy Creek,HCK133,HCK133,-9,5,7450.27,1490.05
Merritt Island,Happy Creek,HCK141,HCK141,-9,9,12510.6,1390.07
Merritt Island,Happy Creek,HCK142,HCK142,-9,2,4421.11,2210.56
Merritt Island,Happy Creek,HCK221,HCK221,-9,5,5557.47,1111.49
Merritt Island,Happy Creek,HCK226,HCK226,-9,4,6489.34,1622.34
Merritt Island,Happy Creek,HCK438,HCK438,-9,2,2412.78,1206.39
Merritt Island,Happy Creek,HCK445,HCK445,-9,5,8102.78,1620.56
Merritt Island,Happy Creek,HCK448,HCK448,-9,5,6570.63,1314.13
Merritt Island,Happy Creek,HCK99,HCK99,-9,0,0,0
Merritt Island,Happy Creek,HCKW123,HCKW123,-9,5,7498.62,1499.72
Merritt Island,Happy Creek,HCKW442,HCKW442,-9,5,7202.21,1440.44
Merritt Island,Happy Creek,HCKW98,HCKW98,-9,7,8745.22,1249.32
SBC,Malabar,MALB143,MALB143,-9,0,0,0
SBC,Malabar,MALB379,MALB379,-9,2,3373.62,1686.81
SBC,Malabar,MALB382,MALB382,-9,2,2658.65,1329.32
SBC,Malabar,MALB398,MALB398,-9,8,9133.38,1141.67
SBC,Malabar,MALB452,MALB452,-9,1,1332.87,1332.87
SBC,Malabar,MALB455,MALB455,-9,0,0,0
SBC,Malabar,MALB494,MALB494,-9,0,0,0
SBC,Malabar,MALB496,MALB496,-9,0,0,0
SBC,Malabar,MALB497,MALB497,-9,3,3911.84,1303.95
SBC,Malabar,MALB498,MALB498,-9,3,3710.59,1236.86
SBC,Malabar,MALB499,MALB499,-9,2,2342.71,1171.36
SBC,Malabar,MALB500,MALB500,-9,1,1255.13,1255.13
SBC,Malabar,MALB82,MALB82,-9,2,2773.68,1386.84
SBC,Malabar,MALB83,MALB83,-9,2,2392.24,1196.12
SBC,Micco,MICO227,MICO227,-9,0,0,0
SBC,Micco,MICO236,MICO236,-9,0,0,0
SBC,Micco,MICO237,MICO237,-9,1,1206.36,1206.36
SBC,Micco,MICO239,MICO239,-9,8,11289.6,1411.2
SBC,Micco,MICO240,MICO240,-9,4,5239.41,1309.85
SBC,Micco,MICO241,MICO241,-9,5,6834.41,1366.88
SBC,Micco,MICO242,MICO242,-9,0,0,0
SBC,Micco,MICO243,MICO243,-9,0,0,0
SL,South Lake,NORT384,NORT384,-9,20,34129.2,1706.46
Ocala,Ocala,OC07,OC07,-9,0,0,0
Ocala,Ocala,OC11,OC11,-9,1,1204.49,1204.49
Ocala,Ocala,OC14,OC14,-9,3,4556.59,1518.86
Ocala,Ocala,OC20,OC20,-9,1,1204.49,1204.49
Ocala,Ocala,OC22,OC22,-9,1,2138.65,2138.65
Ocala,Ocala,OC26,OC26,-9,0,0,0
Ocala,Ocala,OC28,OC28,-9,3,4576.17,1525.39
Ocala,Ocala,OC32,OC32,-9,7,9432.18,1347.45
Ocala,Ocala,OC33,OC33,-9,3,5045.55,1681.85
Ocala,Ocala,OC34,OC34,-9,0,0,0
Ocala,Ocala,OC35,OC35,-9,5,7189.9,1437.98
Ocala,Ocala,OC36,OC36,-9,1,1802.53,1802.53
Ocala,Ocala,OC37,OC37,-9,4,6149.22,1537.3
Ocala,Ocala,OC38,OC38,-9,2,2538.92,1269.46
Ocala,Ocala,OC39,OC39,-9,1,1094.89,1094.89
Ocala,Ocala,OC40,OC40,-9,0,0,0
Ocala,Ocala,OC41,OC41,-9,0,0,0
Ocala,Ocala,OC42,OC42,-9,1,1482.56,1482.56
Ocala,Ocala,OC43,OC43,-9,2,2531.58,1265.79
Ocala,Ocala,OC44,OC44,-9,4,6284.53,1571.13
Merritt Island,Ransom Road,RR110,RR110,-9,6,9228.87,1538.14
Merritt Island,Ransom Road,RR111,RR111,-9,24,41667.9,1736.16
Merritt Island,Ransom Road,RR112,RR112,-9,14,18585.3,1327.52
Merritt Island,Ransom Road,RR205,RR205,-9,7,12866.8,1838.12
Merritt Island,Ransom Road,RR206,RR206,-9,0,0,0
