"IID","F","FROH","cluster","location"
"CNS214",0.07187,0.00211339358213205,"Merritt Island","Canaveral National Seashore"
"CNS215",0.07901,0.00504271899946219,"Merritt Island","Canaveral National Seashore"
"CNS216",0.06483,0.00421838256229634,"Merritt Island","Canaveral National Seashore"
"CNS217",0.1034,0.00186453511056744,"Merritt Island","Canaveral National Seashore"
"CNS218",0.0033,0.00111577681932742,"Merritt Island","Canaveral National Seashore"
"HCK01",0.15863,0,"Merritt Island","Happy Creek"
"HCK02",0.17616,0,"Merritt Island","Happy Creek"
"HCK128",0.09362,0.00118456379377617,"Merritt Island","Happy Creek"
"HCK131",-0.01681,0.00682216410591697,"Merritt Island","Happy Creek"
"HCK132",0.0416,0.0034425439475266,"Merritt Island","Happy Creek"
"HCK133",-0.02534,0.00785653122989803,"Merritt Island","Happy Creek"
"HCK141",0.0118,0.0131927996709867,"Merritt Island","Happy Creek"
"HCK142",-0.01897,0.0046621919455019,"Merritt Island","Happy Creek"
"HCK221",0.00849,0.00586051735228675,"Merritt Island","Happy Creek"
"HCK226",0.04963,0.00684320197407966,"Merritt Island","Happy Creek"
"HCK438",0.02744,0.00254434824789885,"Merritt Island","Happy Creek"
"HCK445",-0.04197,0.00854462242562929,"Merritt Island","Happy Creek"
"HCK448",-0.02561,0.0069289246960318,"Merritt Island","Happy Creek"
"HCK99",0.05462,0,"Merritt Island","Happy Creek"
"HCKW123",0.07042,0.00790751774246275,"Merritt Island","Happy Creek"
"HCKW442",-0.00666,0.00759494458446256,"Merritt Island","Happy Creek"
"HCKW98",0.00943,0.00922209450695462,"Merritt Island","Happy Creek"
"RR110",0.01709,0.00973211781206171,"Merritt Island","Ransom Road"
"RR111",-0.00369,0.043940039439412,"Merritt Island","Ransom Road"
"RR112",0.11155,0.0195987514367968,"Merritt Island","Ransom Road"
"RR205",0.03491,0.013568423161691,"Merritt Island","Ransom Road"
"RR206",0.03548,0,"Merritt Island","Ransom Road"
"RR207",0.06072,0,"Merritt Island","Ransom Road"
"RR95",0.0604,0,"Merritt Island","Ransom Road"
"RR96",0.01823,0.0010554260827384,"Merritt Island","Ransom Road"
"SHIL108",0.03666,0.00423007729702939,"Merritt Island","Shiloh"
"SHIL147",0.03493,0.00590883590462833,"Merritt Island","Shiloh"
"SHIL148",0.01436,0.00402441236330658,"Merritt Island","Shiloh"
"SHIL159",0.0011,0.0106666736968649,"Merritt Island","Shiloh"
"SHIL166",-0.03921,0.00943777747313585,"Merritt Island","Shiloh"
"SHIL168",-0.00308,0.00414308913939829,"Merritt Island","Shiloh"
"SHIL459",0.16499,0.0029600122325449,"Merritt Island","Shiloh"
"SHIL462",0.1494,0.00269040061584536,"Merritt Island","Shiloh"
"SHIL472",0.03535,0.00178154362062238,"Merritt Island","Shiloh"
"SHIL474",0.04478,0.0171671113267039,"Merritt Island","Shiloh"
"SHIL475",-0.02294,0.00243306372523173,"Merritt Island","Shiloh"
"SHIL476",0.08597,0.00270158917630683,"Merritt Island","Shiloh"
"SHIL477",0.04913,0.0126425460565861,"Merritt Island","Shiloh"
"SHIL478",0.01258,0.00440100602136477,"Merritt Island","Shiloh"
"SRTZ124",0.05706,0.00381754526568877,"Merritt Island","Schwartz"
"SRTZ125",0.04497,0.00370217971295701,"Merritt Island","Schwartz"
"SRTZ126",0.0109,0.0120820635037805,"Merritt Island","Schwartz"
"SRTZ127",0.06014,0.00266722205232577,"Merritt Island","Schwartz"
"SRTZ199",0.19434,0.00158696179438779,"Merritt Island","Schwartz"
"SRTZ200",-0.01996,0.0131974396018096,"Merritt Island","Schwartz"
"SRTZ201",0.03856,0.00349268683630535,"Merritt Island","Schwartz"
"SRTZ202",0.05367,0.0228007255164559,"Merritt Island","Schwartz"
"SRTZ203",-0.01353,0.00552032606059328,"Merritt Island","Schwartz"
"SRTZ204",0.06271,0.00447549800166616,"Merritt Island","Schwartz"
"TEL229",0.04243,0.00632500606354596,"Merritt Island","TEL4"
"TEL230",0.05,0,"Merritt Island","TEL4"
"TEL231",0.11,0.00284130382056122,"Merritt Island","TEL4"
"TEL232",0.05275,0,"Merritt Island","TEL4"
"TEL233",0.06887,0.00118106275506438,"Merritt Island","TEL4"
"TEL234",0.01436,0.0103891109259826,"Merritt Island","TEL4"
"TEL449",0.11566,0.0813003406131036,"Merritt Island","TEL4"
"TEL450",0.04548,0.00374041696105622,"Merritt Island","TEL4"
"EF244",-0.11009,0.00239401448923852,"SL","South Lake"
"EF245",-0.1206,0.00918986807833047,"SL","South Lake"
"EF246",-0.13381,0.00139917113963028,"SL","South Lake"
"EF247",-0.13695,0.00111388921110631,"SL","South Lake"
"FOX62",-0.20438,0.00783907876282572,"SL","South Lake"
"FOX63",-0.21041,0.00438030560271647,"SL","South Lake"
"FOX64",-0.15195,0.00105896930263949,"SL","South Lake"
"NORT384",-0.09158,0.035990256145272,"SL","South Lake"
"SLCA87",-0.09247,0.00891307511415284,"SL","South Lake"
"SLCA88",-0.08597,0.00559270898142973,"SL","South Lake"
"SLCA89",-0.09406,0.00289660335973173,"SL","South Lake"
"CCK186",0.00633,0.0255978656318215,"CBC","Cruickshank"
"CCK26",-0.0471,0.00839739952967974,"CBC","Cruickshank"
"CCK27",0.24034,0.00113824884792627,"CBC","Cruickshank"
"CCK29",0.02884,0.00129240000421812,"CBC","Cruickshank"
"CCK30",0.04394,0.00202824030623543,"CBC","Cruickshank"
"CCK31",0.00375,0.00248880616688988,"CBC","Cruickshank"
"CCK32",-0.02742,0.00182875491674488,"CBC","Cruickshank"
"CCK33",0.0414,0.00131380695778717,"CBC","Cruickshank"
"CCK34",0.02846,0,"CBC","Cruickshank"
"CCK35",0.08923,0,"CBC","Cruickshank"
"CCK36",0.11974,0,"CBC","Cruickshank"
"CCK37",-0.07398,0.00899117358613926,"CBC","Cruickshank"
"CCK38",0.02096,0.0050733003617037,"CBC","Cruickshank"
"CCK39",0.0088,0.00402529816828186,"CBC","Cruickshank"
"CCK400",-0.0188,0.0178317814170771,"CBC","Cruickshank"
"CCK405",0.13094,0,"CBC","Cruickshank"
"CCK408",0.07585,0.00290239272796297,"CBC","Cruickshank"
"CCK40",0.07723,0.00214790834027565,"CBC","Cruickshank"
"CCK410",0.02171,0.00269683324721341,"CBC","Cruickshank"
"CCK412",0.01404,0.00130324056986787,"CBC","Cruickshank"
"CCK413",0.1109,0.00271562496704595,"CBC","Cruickshank"
"CCK419",0.03208,0.00263818030349366,"CBC","Cruickshank"
"CCK41",0.05338,0.00138443935926773,"CBC","Cruickshank"
"CCK423",-0.031,0.0435935209693237,"CBC","Cruickshank"
"CCK424",0.01847,0.0075734532685149,"CBC","Cruickshank"
"CCK426",0.03683,0.00143155574771431,"CBC","Cruickshank"
"CCK427",-0.0328,0.0242741144586572,"CBC","Cruickshank"
"CCK428",0.0226,0.00328649463771631,"CBC","Cruickshank"
"CCK429",0.16192,0.00113850193506206,"CBC","Cruickshank"
"CCK42",0.09418,0.00128551392506512,"CBC","Cruickshank"
"CCK430",-0.02018,0.00427011779097112,"CBC","Cruickshank"
"CCK43",0.02203,0.0011495534066583,"CBC","Cruickshank"
"CCK44",-0.04616,0.0122291704014595,"CBC","Cruickshank"
"CCK45",0.07771,0.00138429172510519,"CBC","Cruickshank"
"CCK46",0.03324,0.00368959917324869,"CBC","Cruickshank"
"CCK47",-0.01058,0,"CBC","Cruickshank"
"CCK480",0.04478,0.0056182286009554,"CBC","Cruickshank"
"CCK483",0.02407,0,"CBC","Cruickshank"
"CCK486",0.03256,0.00566359447004608,"CBC","Cruickshank"
"CCK489",0.13387,0,"CBC","Cruickshank"
"CCK48",0.10548,0.00164152316274557,"CBC","Cruickshank"
"CCK490",0.16139,0.00320635037804891,"CBC","Cruickshank"
"CCK49",0.11566,0,"CBC","Cruickshank"
"CCK50",0.08591,0,"CBC","Cruickshank"
"CCK51",0.12432,0,"CBC","Cruickshank"
"CCK52",0.12332,0.00177216885130076,"CBC","Cruickshank"
"CCK54",0.12853,0.00237603475729998,"CBC","Cruickshank"
"CCK55",-0.0493,0.00989315504750656,"CBC","Cruickshank"
"VRA03",0.08899,0.00135831865779456,"CBC","Viera"
"VRA04",0.07083,0.00457372744624535,"CBC","Viera"
"VRA05",0.08819,0,"CBC","Viera"
"VRA06",0.10329,0.00144144723660484,"CBC","Viera"
"VRA07",0.11248,0,"CBC","Viera"
"VRA08",-0.0118,0.00129657594195868,"CBC","Viera"
"VRA09",-0.02432,0.00196763648251062,"CBC","Viera"
"VRA10",0.09393,0,"CBC","Viera"
"VRA11",0.02536,0.00112675447384239,"CBC","Viera"
"VRA12",0.15279,0,"CBC","Viera"
"VRA13",0.12832,0.00179166710605406,"CBC","Viera"
"VRA15",0.15343,0.00264277805312721,"CBC","Viera"
"VRA16",0.0658,0.00412046947663689,"CBC","Viera"
"VRA172",-0.00436,0.00215492096299655,"CBC","Viera"
"VRA174",0.07263,0.00135448016956838,"CBC","Viera"
"VRA17",0.01881,0,"CBC","Viera"
"VRA18",0.08562,0.00304784401396197,"CBC","Viera"
"VRA19",0.07293,0,"CBC","Viera"
"VRA20",0.14914,0,"CBC","Viera"
"VRA212",-0.05311,0.0159700091744087,"CBC","Viera"
"VRA21",-0.03295,0.027423783863586,"CBC","Viera"
"VRA23",-0.07703,0.00214393276318426,"CBC","Viera"
"VRA24",0.03557,0.00257569941684506,"CBC","Viera"
"VRA25",-0.04003,0.00594523827099305,"CBC","Viera"
"VRA70",0.08707,0.0014865916544517,"CBC","Viera"
"MALB143",0.02561,0,"SBC","Malabar"
"MALB379",0.07602,0.0035575825960413,"SBC","Malabar"
"MALB382",0.03881,0.00280362547322022,"SBC","Malabar"
"MALB398",-0.02943,0.00963142076790855,"SBC","Malabar"
"MALB452",0.14522,0.0014055510445117,"SBC","Malabar"
"MALB455",0.08134,0,"SBC","Malabar"
"MALB494",0.09473,0,"SBC","Malabar"
"MALB496",0.08077,0,"SBC","Malabar"
"MALB497",-0.04085,0.00412515158864904,"SBC","Malabar"
"MALB498",0.05215,0.0039129274799903,"SBC","Malabar"
"MALB499",0.09528,0.00247045734954497,"SBC","Malabar"
"MALB500",0.07772,0.00132357190310981,"SBC","Malabar"
"MALB82",0.04877,0.00292492802834576,"SBC","Malabar"
"MALB83",0.03465,0.002522688207194,"SBC","Malabar"
"MICO227",0.14367,0,"SBC","Micco"
"MICO236",0.13649,0,"SBC","Micco"
"MICO237",0.11673,0.00127214248805745,"SBC","Micco"
"MICO239",-0.06776,0.011905218867646,"SBC","Micco"
"MICO240",-8e-04,0.00552511362557867,"SBC","Micco"
"MICO241",-0.02163,0.00720708854886164,"SBC","Micco"
"MICO242",0.06875,0,"SBC","Micco"
"MICO243",0.07272,0,"SBC","Micco"
"VALK386",0.029,0.00214956395195563,"SBC","Valkaria"
"VALK387",0.01536,0.00457082748948107,"SBC","Valkaria"
"VALK389",0.05453,0.00329039639772643,"SBC","Valkaria"
"VALK390",-0.05036,0.0186610635986882,"SBC","Valkaria"
"VALK391",0.09777,0.00240535068386253,"SBC","Valkaria"
"VALK392",0.0171,0.0511028271942127,"SBC","Valkaria"
"VALK393",0.14751,0.00274139767370741,"SBC","Valkaria"
"VALK394",-0.0642,0.0380230731105464,"SBC","Valkaria"
"VALK501",0.15259,0.00139863332946672,"SBC","Valkaria"
"VALK502",0.01437,0.00505327484208417,"SBC","Valkaria"
"VALK503",0.11874,0.00185065749928819,"SBC","Valkaria"
"VALK504",0.08539,0,"SBC","Valkaria"
"ALD01",-0.04688,0.0237113119404402,"Archbold","Archbold"
"ALD02",-0.04165,0.021440382161575,"Archbold","Archbold"
"ALD03",0.10112,0.00279409252443873,"Archbold","Archbold"
"ALD04",0.00468,0.0665783673770682,"Archbold","Archbold"
"ALD05",-0.03885,0.0216200740279872,"Archbold","Archbold"
"ALD06",-0.03519,0.0259876198209409,"Archbold","Archbold"
"ALD07",0.08569,0,"Archbold","Archbold"
"ALD08",0.09244,0.00202381128135908,"Archbold","Archbold"
"ALD09",-0.01444,0.010122715624967,"Archbold","Archbold"
"ALD10",0.08227,0.00192811270813781,"Archbold","Archbold"
"ALD11",-0.04104,0.00444715224245748,"Archbold","Archbold"
"ALD12",-0.00858,0.00759393223591939,"Archbold","Archbold"
"ALD13",-0.03072,0.00601351907117021,"Archbold","Archbold"
"ALD14",0.03478,0.00493506205907476,"Archbold","Archbold"
"ALD15",-0.00826,0.00517007455525208,"Archbold","Archbold"
"ALD16",0.00412,0.00612217781480349,"Archbold","Archbold"
"ALD17",0.1054,0.00367495175526474,"Archbold","Archbold"
"ALD18",-0.06135,0.0198725073553449,"Archbold","Archbold"
"ALD19",-0.03232,0.0355870039755771,"Archbold","Archbold"
"ALD20",-0.03336,0.0343461388393846,"Archbold","Archbold"
"ALD21",-0.03665,0.0362835208638708,"Archbold","Archbold"
"ALD22",0.11468,0,"Archbold","Archbold"
"ALD23",-0.03377,0.035851690938426,"Archbold","Archbold"
"ALD24",0.08941,0.00262046420398823,"Archbold","Archbold"
"ALD26",-0.03214,0.00431862615866454,"Archbold","Archbold"
"ALD29",0.12157,0.00140635248710837,"Archbold","Archbold"
"OC07",-0.65697,0,"Ocala","Ocala"
"OC11",-0.22468,0.00127017051745774,"Ocala","Ocala"
"OC14",0.04467,0.00480505963365637,"Ocala","Ocala"
"OC20",0.06386,0.00127017051745774,"Ocala","Ocala"
"OC22",0.05071,0.002255270012338,"Ocala","Ocala"
"OC26",-0.01858,0,"Ocala","Ocala"
"OC28",0.00255,0.00482570732581805,"Ocala","Ocala"
"OC32",0.00151,0.00994651425196934,"Ocala","Ocala"
"OC33",0.0854,0.00532068249164285,"Ocala","Ocala"
"OC34",0.06774,0,"Ocala","Ocala"
"OC35",0.0333,0.0075819633234559,"Ocala","Ocala"
"OC36",0.01212,0.00190082147866159,"Ocala","Ocala"
"OC37",0.04518,0.00648453532147339,"Ocala","Ocala"
"OC38",0.0707,0.00267736662835209,"Ocala","Ocala"
"OC39",0.11186,0.00115459405877949,"Ocala","Ocala"
"OC40",0.08009,0,"Ocala","Ocala"
"OC41",0.04512,0,"Ocala","Ocala"
"OC42",0.01253,0.00156340360016451,"Ocala","Ocala"
"OC43",0.022,0.00266962638011579,"Ocala","Ocala"
"OC44",-0.01879,0.00662722373957334,"Ocala","Ocala"
