cluster	length_class	n	proportion
Merritt Island	1–2 Mb	260	0.89041095890411
Merritt Island	2–3 Mb	24	0.0821917808219178
Merritt Island	3–4 Mb	6	0.0205479452054795
Merritt Island	4–5 Mb	1	0.00342465753424658
Merritt Island	5–7 Mb	1	0.00342465753424658
SL	1–2 Mb	46	0.884615384615385
SL	2–3 Mb	5	0.0961538461538462
SL	4–5 Mb	1	0.0192307692307692
CBC	1–2 Mb	193	0.923444976076555
CBC	2–3 Mb	12	0.0574162679425837
CBC	3–4 Mb	3	0.0143540669856459
CBC	4–5 Mb	1	0.00478468899521531
SBC	1–2 Mb	108	0.885245901639344
SBC	2–3 Mb	11	0.0901639344262295
SBC	3–4 Mb	1	0.00819672131147541
SBC	4–5 Mb	2	0.0163934426229508
Archbold	1–2 Mb	187	0.823788546255507
Archbold	2–3 Mb	29	0.127753303964758
Archbold	3–4 Mb	7	0.0308370044052863
Archbold	4–5 Mb	3	0.013215859030837
Archbold	5–7 Mb	1	0.00440528634361234
Ocala	1–2 Mb	34	0.871794871794872
Ocala	2–3 Mb	5	0.128205128205128
