Region,Location,Sample ID,PC01,PC02,PC03,PC04,PC05,PC06,PC07,PC08,PC09,PC10,PC11,PC12,PC13,PC14,PC15,PC16,PC17,PC18,PC19,PC20
Archbold,Archbold,ALD01,0.157022,0.086497,-0.0148366,-0.000566449,0.049881,-0.00249246,-0.000704204,-0.00243994,0.00163664,-0.00109585,-0.00306342,0.000444386,-0.000562129,-0.00444134,0.00457619,-0.000941075,-0.00724875,0.0180985,-0.00132377,0.00783459
Archbold,Archbold,ALD02,0.154839,0.0850673,-0.0151623,-0.000659858,0.0539279,0.000588345,7.56E-05,-0.00259736,0.00101172,0.000986132,0.00144367,-0.00343272,0.00071768,-0.00732117,0.00584711,-0.0108496,-0.0154501,0.0570284,-0.0212582,-0.191668
Archbold,Archbold,ALD03,0.123115,0.076546,-0.0149227,0.00266335,0.0591965,-0.00232768,0.000505243,0.00159322,-0.000958475,-0.00110167,-0.00242767,0.00247412,0.00154168,0.00436677,-0.00620901,-0.00405914,-0.0130349,0.0255591,-0.00240959,-0.0401938
Archbold,Archbold,ALD04,0.156028,0.0870747,-0.0166372,-0.0017839,0.054136,-0.000384337,9.41E-05,-0.00207581,-0.000132778,0.000753763,0.00132108,-0.000336277,-0.00118732,-0.00105033,0.00391326,0.00147834,0.00187758,0.00659644,0.00307236,0.00516743
Archbold,Archbold,ALD05,0.160847,0.0921962,-0.0157574,-0.0020486,0.0606203,-0.00278158,0.00262562,-0.00137633,-0.00405105,0.00333655,0.00188858,-0.000489403,-0.00311674,0.00227837,0.00263996,-0.00371318,-0.00715571,0.0203918,0.00118403,0.0106506
Archbold,Archbold,ALD06,0.169301,0.0995898,-0.0174719,0.00113997,0.078788,-0.00161425,0.00253074,-0.00177908,-0.00248113,0.00374134,0.00377458,0.00406604,0.00428066,0.0099493,-0.0128086,-0.0092702,-0.0552279,0.12331,0.0148092,0.111218
Archbold,Archbold,ALD07,0.120977,0.0749004,-0.0135142,0.0040316,0.0564907,0.00119837,0.00191349,0.000704868,-0.00338392,0.000227023,-0.000396339,0.00431161,0.00156826,0.0124993,-0.0143847,-0.00585957,-0.0409911,0.087897,0.0122934,0.0659466
Archbold,Archbold,ALD08,0.132349,0.0837074,-0.0158384,0.00131133,0.0686328,-0.000368135,0.00346176,0.000296975,-0.00273605,0.00141559,-0.000184953,0.00342259,0.00545246,0.014341,-0.0164611,-0.010186,-0.0504439,0.110603,0.00991433,0.0809908
Archbold,Archbold,ALD09,0.167835,0.100371,-0.0198351,-0.000831407,0.0823922,-0.00225887,-0.00233738,-0.00238159,-0.000133602,-0.000397606,0.00163793,-0.00232216,-0.00718258,0.00238859,0.00236316,-0.0259121,-0.0920036,0.308186,-0.014734,0.26417
Archbold,Archbold,ALD10,0.140357,0.0888418,-0.0195754,0.000518049,0.0761322,-0.00183312,-0.0010729,-0.000603958,-0.00141767,-0.000698916,-0.000460941,-0.000952196,-0.00371883,0.00742565,-0.00749952,-0.0195779,-0.075337,0.231786,-0.00868973,0.195158
