"gene_symbol","n_clusters","clusters"
"Abhd16a",5,"Merritt Island, CBC, SBC, Archbold, Ocala"
"BUD13",3,"Merritt Island, SBC, Ocala"
"Bad",3,"Merritt Island, CBC, Archbold"
"CLN3",2,"Merritt Island, CBC"
"Dmbt1",4,"Merritt Island, SL, CBC, SBC"
"ESYT3",6,"Merritt Island, SL, CBC, SBC, Archbold, Ocala"
"Efcc1",5,"Merritt Island, CBC, SBC, Archbold, Ocala"
"Hgh1",3,"Merritt Island, SBC, Ocala"
"IL1RN",3,"Merritt Island, SBC, Ocala"
"KIF5A",5,"Merritt Island, SL, CBC, SBC, Archbold"
"MED11",1,"Archbold"
"MRPL4",5,"Merritt Island, SL, CBC, SBC, Ocala"
"Mast1",3,"Merritt Island, CBC, SBC"
"NAA38",4,"Merritt Island, CBC, SBC, Ocala"
"PABPN1",3,"CBC, SBC, Ocala"
"PCDHGB5",3,"Merritt Island, Archbold, Ocala"
"Polr1g",5,"Merritt Island, SL, CBC, SBC, Ocala"
"SCN1B",3,"Merritt Island, CBC, SBC"
"SEMA4C",3,"Merritt Island, SBC, Ocala"
"Slc5a2",4,"Merritt Island, CBC, Archbold, Ocala"
"TRPT1",3,"Merritt Island, CBC, Ocala"
"TUFM",4,"Merritt Island, CBC, SBC, Ocala"
"Ttn",4,"Merritt Island, SL, CBC, Ocala"
"USHBP1",4,"Merritt Island, SL, CBC, SBC"
"WDR74",2,"Merritt Island, SBC"
"WIZ",2,"Merritt Island, CBC"
"g11669.t1",4,"Merritt Island, CBC, Archbold, Ocala"
"g17528.t1",4,"Merritt Island, CBC, SBC, Ocala"
"g8769.t1",1,"Archbold"
"g9552",4,"Merritt Island, CBC, SBC, Archbold"
"g9558",6,"Merritt Island, SL, CBC, SBC, Archbold, Ocala"
"slc39a7",3,"Merritt Island, CBC, SBC"
"tbc1d24",4,"Merritt Island, CBC, SBC, Ocala"
