"GO.ID","Term","Annotated","Significant","Expected","weightFisher","FDR"
"GO:0000902","cell morphogenesis",45,13,4.17,0.000125458565851563,0.105259736749462
"GO:0001755","neural crest cell migration",20,6,1.85,0.00748380293693923,1
"GO:0006366","transcription by RNA polymerase II",143,18,13.24,0.0122138468865197,1
"GO:0007157","heterophilic cell-cell adhesion via plasma membrane cell adhesion molecules",6,3,0.56,0.0126727661495314,1
"GO:0046649","lymphocyte activation",3,2,0.28,0.0240427859287579,1
"GO:0016192","vesicle-mediated transport",51,8,4.72,0.0315735580546537,1
"GO:0006396","RNA processing",209,20,19.36,0.044139112519011,1
"GO:1902532","negative regulation of intracellular signal transduction",4,2,0.37,0.045167621415272,1
"GO:0000463","maturation of LSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)",10,3,0.93,0.057608868167707,1
"GO:0000289","nuclear-transcribed mRNA poly(A) tail shortening",5,2,0.46,0.0707476305396472,1
"GO:0043087","regulation of GTPase activity",5,2,0.46,0.0707476305396472,1
"GO:0045892","negative regulation of DNA-templated transcription",120,15,11.11,0.0910941475826971,1
"GO:0006401","RNA catabolic process",29,5,2.69,0.0919260700389105,1
"GO:0000027","ribosomal large subunit assembly",12,3,1.11,0.0921333594652646,1
"GO:0006119","oxidative phosphorylation",4,2,0.37,0.0922633349351274,1
"GO:0045935","positive regulation of nucleobase-containing compound metabolic process",16,3,1.48,0.0923151280811987,1
"GO:1901988","negative regulation of cell cycle phase transition",18,3,1.67,0.092404450895017,1
"GO:0042060","wound healing",6,2,0.56,0.099785062734705,1
"GO:0007009","plasma membrane organization",6,2,0.56,0.099785062734705,1
"GO:0006694","steroid biosynthetic process",8,2,0.74,0.164948263951035,1
"GO:0006493","protein O-linked glycosylation",8,2,0.74,0.164948263951035,1
"GO:0009060","aerobic respiration",6,3,0.56,0.175261775261775,1
"GO:0000491","small nucleolar ribonucleoprotein complex assembly",6,2,0.56,0.176134976134976,1
