Chr1	CM083937.1
Chr1A	CM083938.1
Chr2	CM083939.1
Chr3	CM083940.1
Chr4	CM083941.1
Chr4A	CM083942.1
Chr5	CM083943.1
Chr6	CM083944.1
Chr7	CM083945.1
Chr8	CM083946.1
Chr9	CM083947.1
Chr10	CM083948.1
Chr11	CM083949.1
Chr12	CM083950.1
Chr13	CM083951.1
Chr14	CM083952.1
Chr15	CM083953.1
Chr17	CM083954.1
Chr18	CM083955.1
Chr19	CM083956.1
Chr20	CM083957.1
Chr21	CM083958.1
Chr22	CM083959.1
Chr23	CM083960.1
Chr24	CM083961.1
Chr25	CM083962.1
Chr26	CM083963.1
Chr27	CM083964.1
Chr28	CM083965.1
Chr29	CM083966.1
Chr30	CM083967.1
Chr31	CM083968.1
Chr34	CM083969.1
ChrW_unloc_scaf_1	JBGGOT010000038.1
ChrW_unloc_scaf_2	JBGGOT010000039.1
ChrW_unloc_scaf_3	JBGGOT010000040.1
ChrW_unloc_scaf_4	JBGGOT010000041.1
ChrW_unloc_scaf_5	JBGGOT010000042.1
ChrZ	JBGGOT010000034.1
ChrZ_unloc_scaf_1	JBGGOT010000035.1
ChrZ_unloc_scaf_2	JBGGOT010000036.1
ChrZ_unloc_scaf_3	JBGGOT010000037.1
HiC_scaffold_39	JBGGOT010000043.1
HiC_scaffold_46	JBGGOT010000044.1
HiC_scaffold_55	JBGGOT010000045.1
HiC_scaffold_56	JBGGOT010000046.1
HiC_scaffold_57	JBGGOT010000047.1
HiC_scaffold_58	JBGGOT010000048.1
HiC_scaffold_59	JBGGOT010000049.1
HiC_scaffold_60	JBGGOT010000050.1
HiC_scaffold_61	JBGGOT010000051.1
HiC_scaffold_63	JBGGOT010000052.1
HiC_scaffold_64	JBGGOT010000053.1
HiC_scaffold_65	JBGGOT010000054.1
HiC_scaffold_67	JBGGOT010000055.1
HiC_scaffold_70	JBGGOT010000056.1
HiC_scaffold_71	JBGGOT010000057.1
HiC_scaffold_72	JBGGOT010000058.1
HiC_scaffold_73	JBGGOT010000059.1
HiC_scaffold_75	JBGGOT010000060.1
HiC_scaffold_76	JBGGOT010000061.1
HiC_scaffold_77	JBGGOT010000062.1
HiC_scaffold_78	JBGGOT010000063.1
HiC_scaffold_80	JBGGOT010000064.1
HiC_scaffold_81	JBGGOT010000065.1
HiC_scaffold_83	JBGGOT010000066.1
HiC_scaffold_84	JBGGOT010000067.1
HiC_scaffold_85	JBGGOT010000068.1
HiC_scaffold_86	JBGGOT010000069.1
HiC_scaffold_87	JBGGOT010000070.1
HiC_scaffold_88	JBGGOT010000071.1
HiC_scaffold_89	JBGGOT010000072.1
HiC_scaffold_92	JBGGOT010000073.1
HiC_scaffold_93	JBGGOT010000074.1
