cluster,location,FID,IID,PHE,CHR,CHR_NUM,SNP1,SNP2,POS1,POS2,KB,NSNP,DENSITY,PHOM,PHET
Archbold,Archbold,ALD01,ALD01,-9,CM083937.1,1,SNP_402252,SNP_423005,40044251,42427522,2383.272,9144,0.261,0.999,0.001
Archbold,Archbold,ALD01,ALD01,-9,CM083937.1,1,SNP_676177,SNP_687722,69068178,70288962,1220.785,4979,0.245,0.999,0.001
Archbold,Archbold,ALD01,ALD01,-9,CM083937.1,1,SNP_723464,SNP_735240,75080449,76338551,1258.103,5422,0.232,0.999,0.001
Archbold,Archbold,ALD01,ALD01,-9,CM083937.1,1,SNP_763151,SNP_774576,79158425,80285541,1127.117,5144,0.219,0.999,0.001
Archbold,Archbold,ALD01,ALD01,-9,CM083938.1,1A,SNP_1714662,SNP_1715779,58417538,59510647,1093.11,357,3.062,0.978,0.022
Archbold,Archbold,ALD01,ALD01,-9,CM083939.1,2,SNP_2248705,SNP_2265294,48355858,50171825,1815.968,7387,0.246,0.999,0.001
Archbold,Archbold,ALD01,ALD01,-9,CM083939.1,2,SNP_2384772,SNP_2386724,64486538,65814554,1328.017,465,2.856,1,0
Archbold,Archbold,ALD01,ALD01,-9,CM083939.1,2,SNP_2650969,SNP_2652676,96271442,97478822,1207.381,549,2.199,0.991,0.009
Archbold,Archbold,ALD01,ALD01,-9,CM083939.1,2,SNP_3269514,SNP_3280276,162906721,164098117,1191.397,4609,0.258,0.997,0.002
Archbold,Archbold,ALD01,ALD01,-9,CM083941.1,4,SNP_4437125,SNP_4448206,2085626,3113155,1027.53,4912,0.209,1,0
Archbold,Archbold,ALD01,ALD01,-9,CM083942.1,4A,SNP_5219381,SNP_5220683,7785015,8955584,1170.57,407,2.876,0.995,0.005
Archbold,Archbold,ALD01,ALD01,-9,CM083944.1,6,SNP_6047092,SNP_6060736,11600470,13096551,1496.082,5836,0.256,0.999,0.001
Archbold,Archbold,ALD01,ALD01,-9,CM083944.1,6,SNP_6060760,SNP_6072654,13097214,14320296,1223.083,5106,0.24,0.998,0.002
Archbold,Archbold,ALD01,ALD01,-9,CM083946.1,8,SNP_6726900,SNP_6732607,4967861,7754132,2786.272,2045,1.362,0.998,0.002
Archbold,Archbold,ALD01,ALD01,-9,CM083952.1,14,SNP_8148865,SNP_8159289,7370935,8389203,1018.269,4522,0.225,0.999,0.001
Archbold,Archbold,ALD01,ALD01,-9,CM083959.1,22,SNP_9074540,SNP_9087242,4117161,5255401,1138.241,5490,0.207,0.999,0.001
Archbold,Archbold,ALD02,ALD02,-9,CM083937.1,1,SNP_433279,SNP_444660,43499122,44533821,1034.7,4851,0.213,0.998,0.001
Archbold,Archbold,ALD02,ALD02,-9,CM083937.1,1,SNP_446196,SNP_463366,44655319,46134763,1479.445,7322,0.202,0.999,0.001
Archbold,Archbold,ALD02,ALD02,-9,CM083937.1,1,SNP_503422,SNP_556663,50015422,55261700,5246.279,23742,0.221,1,0
Archbold,Archbold,ALD02,ALD02,-9,CM083939.1,2,SNP_2379349,SNP_2386724,62765060,65814554,3049.495,2471,1.234,1,0
Archbold,Archbold,ALD02,ALD02,-9,CM083939.1,2,SNP_2394284,SNP_2400414,69420750,70504645,1083.896,2326,0.466,1,0
Archbold,Archbold,ALD02,ALD02,-9,CM083941.1,4,SNP_4440276,SNP_4454020,2377860,3657799,1279.94,6150,0.208,1,0
Archbold,Archbold,ALD02,ALD02,-9,CM083941.1,4,SNP_4958974,SNP_4969867,62782039,64031553,1249.515,4700,0.266,1,0
Archbold,Archbold,ALD02,ALD02,-9,CM083943.1,5,SNP_5609729,SNP_5619365,32054870,33136083,1081.214,4254,0.254,0.998,0.002
Archbold,Archbold,ALD02,ALD02,-9,CM083945.1,7,SNP_6479549,SNP_6488187,19377000,20649306,1272.307,3926,0.324,0.998,0.001
Archbold,Archbold,ALD02,ALD02,-9,CM083958.1,21,SNP_8962623,SNP_8971258,2040793,4274375,2233.583,3418,0.653,0.999,0.001
